Callsign, Origin, Destination
ACA872,CYYZ,EDDF
AFR639,KIAH,LFPG
AEA045,LEMD,SUMU
IBE6166,KBOS,LEMD
AEA057,LEMD,SBGR
AFL525,OMDB,UUEE
BAW32N,KMIA,EGLL
AFR990,LFPG,FABB
GFA019,OBBI,LFPG
ISS882,GOBD,LIMC
DLH483,KTPA,EDDF
AFR442,LFPG,SBGL
IBE6827,LEMD,SBGR
AFR454,LFPG,SBGR
DAL86,KDTW,EDDF
DAL42,KMSP,LFPG
IBE6051,LEMD,FABB
NRS7N,KFLL,EGKK
IBE6274,KORD,LEMD
FDB1784,EFHK,OMDB
IBE3329,GOBD,LEMD
AFR459,SBGR,LFPG
DLH455,KSFO,EDDF
AFR719,GOBD,LFPG
FDB3CF,OMDB,LKPR
BAW124,OBBI,EGLL
OAE501,EINN,KBFI
DAL172,KJFK,LIMC
FDB9RQ,OMDB,UUEE
IBE6586,SKBO,LEMD
BAW6W,KIAD,EGLL
DAL134,KDTW,EHAM
AFR083,KSFO,LFPG
DAL230,KRDU,LFPG
AFR055,KIAD,LFPG
TAP087,LPPT,SBGR
BAW20R,KORD,EGLL
AFR065,KLAX,LFPG
JAI233,CYYZ,EHAM
ACA856,CYYZ,EGLL
TAP218,KBOS,LPPT
AFL107,KLAX,UUEE
EWG1101,KJFK,EDDL
OAE700,KIAD,LRBS
CRL979,GOBD,LFPO
BAW9E,KLDJ,EGLL
GFA007,OBBI,EGLL
BAW40F,KJFK,EGLL
AZA679,SBGR,LIRF
DAL262,KJFK,LFPG
BAW5CA,CYYZ,EGLL
GTI607,KHSV,EGSS
AFR007,KJFK,LFPG
AFR351,CYYZ,LFPG
BAW11J,KJFK,EGLL
MEA209,OLBA,LFPG
DLH457,KLAX,EDDF
BAW45B,KBOS,EGLL
DAL10,KMSP,EGLL
DAL1,KJFK,EGLL
LPE2484,SKBO,LEMD
BAW71F,KSFO,EGLL
DAL58,KBOS,EGLL
IBK773,OMDB,EFHK
TAP088,SBGR,LPPT
RCH549,LEJR,OTBH
LAN704,KJFK,LEMD
NRS7152,KORD,EGKK
DLH461,KMIA,EDDM
ACA894,CYYZ,LIMC
DJT101,KLDJ,LFPO
ANZ2,KLAX,EGLL
BAW61T,KPIE,EGKK
AFR333,KBOS,LFPG
DAL258,KBOS,EHAM
DAL126,KJFK,LEMD
BAW282,KLAX,EGLL
NAX7034,KFLL,LFPG
AFR019,KJFK,LFPO
TAM8070,SBGR,EDDF
KZR871,UAAA,UUEE
AZA63C,KMIA,LIRF
BAW8,RJTT,EGLL
ISS970,KMIA,LIMC
HVN51,YSSY,EGLL
DAL48,KJFK,EHAM
IBK1822,KOQU,EIDW
NRS7108,KLAS,EGKK
EVA067,RCTP,EGLL
DAL106,KJFK,EDDF
AVA046,SKBO,LEMD
ACA860,CYHZ,EGLL
BAW51B,KBOS,EGLL
TAM8064,SBGR,LEMD
BAW116,KJFK,EGLL
MAS4,WMKK,EGLL
AMX001,MMMX,LEMD
BAW2276,KLAS,EGKK
DAL408,KJFK,LSZH
TAM8062,SBGR,LIMC
NRS7018,KJFK,EGKK
CSN461,KORD,EDDF
AIC177,VOBL,EGLL
SIA25,KJFK,EDDF
EVA075,RCTP,EHAM
DAL476,KJFK,LEBL
DLH741,RJBB,EDDF
AZA605,KJFK,LIMC
DLH1319,DAAG,EDDF
NRS7148,KBOS,EGKK
TAM8108,SBGR,LFPG
BAW22C,KBWI,EGLL
TAM8084,SBGR,EGLL
AIC131,VABB,EGLL
TAP1482,GOBD,LPPT
WJA3,CYYZ,EGKK
BAW172,KJFK,EGLL
BAW36,VOMM,EGLL
IBE6170,KLAX,LEMD
ISS9BG,KJFK,LIMC
ACA854,CYVR,EGLL
JAL45,RJTT,LFPG
AFR355,KSEA,LFPG
RAM778H,GBYD,LFPG
ACA848,CYYZ,EGLL
KZR153,UAAA,UUEE
BAW280,KLAX,EGLL
ABY958,UUDD,OMSJ
DAL246,KJFK,BIKF
DAL162,KMSP,EHAM
DAL136,KDTW,EHAM
THA944,RJBB,LIRF
NRS7096,KLAX,EGKK
BAW17V,KDEN,EGLL
SVR891,UUDD,OMDB
AFR069,KLAX,LFPG
TAP002,SBSG,LPPT
AEA194,SKBO,LEMD
AAF534,GOBD,LFML
BAW80G,KBOS,EGLL
TSC122,CYYZ,EGKK
ANA223,RJTT,EDDF
AAR521,RJBB,EGLL
BAW48Q,KBFI,EGLL
BAW66V,KPHL,EGLL
CFG033,KSEA,EDDF
ACA842,CYYZ,EIDW
BAW188,KLDJ,EGLL
ACA880,CYYZ,LFPG
BAW34N,KMIA,EGLL
JAL43,RJTT,EGLL
TSC292,CYYZ,EGCC
ANA211,RJTT,EGLL
ACA882,CYYZ,EKCH
N150QS,KHPN,BIKF
AZA61CM,KJFK,LIRF
AEA098,KMIA,LEMD
DAL44,KJFK,EIDW
ACA888,CYOW,EGLL
ANA215,RJTT,LFPG
AFR011,KJFK,LFPG
ACA876,CYYZ,EDDF
BAW89P,KSJC,EGLL
AVA010,SKBO,LEMD
TCX2853,KJFK,EGCC
IBE6252,KJFK,LEMD
ISS956,VIDP,LIMC
BAW10C,KJFK,EGKK
NAX7150,KBOS,LFPG
AFL103,KJFK,UUEE
AEA092,KJFK,LEMD
BAW24R,KORD,EGLL
BAW242,MMMX,EGLL
BAW98,CYYZ,EGLL
DAL208,KJFK,EGPH
BAW196E,KIAH,EGLL
NAX7020,KJFK,LFPG
NAX7742,KLAX,LEMD
IBE6118,KMIA,LEMD
AFR557,RCTP,LFPG
NRS7016,KJFK,EGKK
BAW3C,KIAD,EGLL
ANA217,RJTT,EDDM
AFR349,CYUL,LFPG
AFL1410,UUEE,USSS
OMA181,VCBI,UUDD
BAW38P,KPHX,EGLL
NAX7006,KJFK,ESSA
DLH715,RJTT,EDDM
AVA120,SKBO,EGLL
FBU711,KSFO,LFPO
NAX7012,KJFK,EKCH
BAW122,OTHH,EGLL
AFR009,KJFK,LFPG
AVA054,SKBO,EDDM
FDB9QM,OMDB,EPKK
TSC580,CYUL,LPPT
ROU1916,CYYZ,LPPT
TAP262,CYYZ,LPPT
DAL3,KJFK,EGLL
NAX4PF,KEWR,LIRF
CCA737,RJBB,EPWA
ABY582,OMSJ,LKPR
DAL272,KJFK,LPPT
AZA803,DAAG,LIRF
GFA013,UUDD,OBBI
SIA324,YBBN,EHAM
TAP208,KJFK,LPPT
CFG523,OMDW,EDDF
NAX7192,KEWR,LFPO
BAW92W,KDFW,EGLL
AFL523,OMDW,UUEE
VLG7396,LEAL,DAAG
AFR1355,DAAG,LFPG
JAF2051,EBBR,GBYD
MEA217,OLBA,EDDF
ABY955,OMSJ,UUDD
NAX7700,KJFK,EHAM
BAW274,KLAS,EGLL
BAW6B,KSFO,EGLL
AFL1436,UUEE,USSS
AIC125,VABB,EDDF
BAW268,KLAX,EGLL
AFR429,SKBO,LFPG
BTI798,OMAA,EVRA
TRA6901,EHAM,OMDB
AMX025,MMMX,EHAM
SVR3595,UUDD,OMDW
CLU204,KORD,UUEE
FDB4UR,OMDB,UUWW
BAW40,FALE,EGLL
NAX7098,KLAX,LFPG
JAF54X,EBCI,GMMN
BAW256,VIDP,EGLL
JAI116,VABB,EGLL
BAW16,YSSY,EGLL
MEA201,OLBA,EGLL
ABW108,KORD,EHAM
BAW8C,CYVR,EGLL
SEJ6459,KBFI,EGPK
CLU238,OMDW,UUEE
BAW118,VOBL,EGLL
TVF4800,LFLL,DAAG
AMX007,MMMX,EGLL
GIA086,WIII,EGLL
AFR57VW,GMME,LFPG
VLG175K,LEBL,GMTT
ACA858,CYYZ,EGLL
DLH459,KSFO,EDDM
TGZ928,OTBD,UUWW
BAW148,OLBA,EGLL
AFR1554,LFPG,DAAG
RYR39CT,LIME,GMTT
MPH6121,EHAM,KMIA
PAL720,RPLL,EGLL
AFL520,UUEE,OMDB
MEA251,OLBA,LGAV
CFG535,OMDW,EDDL
NRS7013,EGKK,KJFK
AMX003,MMMX,LFPG
TFL457,EHAM,GOBD
BAW108,OMDB,EGLL
FDB1PB,UUEE,OMDB
DAH1002,DAAG,LFPG
QFA1,YSSY,EGLL
AIC117,VIDP,EGBB
MAC357,GMMT,LFBO
MEA231,OLBA,LIRF
FDB4PA,OMDB,LDZA
AFL1412,UUEE,USSS
TGZ930,UGTB,UUWW
AAF255,LFPO,DAAG
FDB1797,OMDB,LROP
DAH1009,LFPO,DAAG
CND1113,EHBK,GBYD
DAH1025,LFML,DAAG
RAM972C,GMMN,LEMD
NAX1939,OMDB,EKCH
VLG7397,DAAG,LEAL
N121GZ,OMDW,UUEE
KZR921,UAAA,EDDF
RAM728C,GMMN,LFML
RAM760R,GMMN,LFPO
FDB6PS,LKPR,OMDB
AVA027,LEMD,SKBO
CSN347,VIDP,LFPG
AFR149H,GMMN,LFPG
AAR541,KLAX,EDDF
ALK503,VCBI,EGLL
RAM780S,GMME,LFPO
AFR022,LFPG,KJFK
AFL100,UUEE,KJFK
SIA26,EDDF,KJFK
SVR2802,UGTB,ULLI
VQBQN,UUDD,USSS
