Callsign, Origin, Destination
JAL373,RJTT,
ASH5834,,KPHX
DAL2632,,
SWA1010,,FL35
AAL237,,KLAX
SKW5192,,KORD
KMI524,VTBS,
QLK589D,,YBBN
GJS4518,,KORD
AAL18,,KLAX
QLK403D,,YBBN
SH311,YPAD,
GTI542,,PANC
SKY635,,
MSA92C,LIPO,
ANA620,,RJTT
EXK,,YMES
QFA790,YSSY,
UAL1838,,KIAH
DAL1435,,KDFW
CXA8467,,ZUCK
SWA4169,,KSTL
AWI3872,KORD,
N136RK,,KPHK
CAL154,RCTP,
TVOI485,,MMTJ
NKS1881,,FL35
ENY3629,,KORD
CTV9908,,
CHH7741,ZGSZ,
QLK757D,,YBBN
N5178J,,
FDX9041,EDDK,
SKW5472,KDEN,
PAT003,KOFF,
OAE562,EINN,
CAL781,RCTP,
VEO,,YBBN
RPA3569,KDEN,
CXA8375,,
ETH574,,EIDW
SBI2571,UUDD,
ANA642,,RJTT
SKW5331,KDEN,
N420DT,,8CA5
N2732T,,KSMO
CCA4343,,ZGSZ
ENY3450,,KORD
N577CG,,KTOB
CSC8826,,
CSS6899,,ZGSZ
UAL285,KDEN,
SKW3652,,KOAK
RCH240,KSWF,
ENY3783,,KDFW
ASA1255,,KLAX
PBD406,,UUWW
FDX5065,EDDK,
QTR806,OTHH,
ANA763,RJOO,
ASQ4236,KIAH,
MDA1261,RCSS,
EDV4770,,KJFK
N333KW,,
AXI3754,KORD,
ANA1747,RJBB,
FDX983,,KPDX
AAL2887,,KDFW
DAL1843,,KBOS
DAL1124,KATL,
AZG789,KORD,
SWA2650,,KLAS
IRO9131,,KMKE
CPA005,,RCTP
ANA602,,RJTT
DAL865,,KCMH
ASH6072,KIAH,
AM219,,YMAY
CTV953,,
PKAR06,,YSBK
QTR962,OTHH,
N210PT,,KFNL
SKW3565,,KSMF
CDG8725,,ZUCK
FDA321,,
NINJA64,,
JAL688,,RJTT
SH144,,KNSE
JIA5300,,KDFW
SKW5446,KDEN,
SWA2367,,KPHX
SKW5316,KDEN,
AFL1481,,
AAL477,,KORD
FD623,YPJT,
AZO327,,
DAL2606,,KCLE
AMF1021,,K9D9
CJT462,,CYHM
ASH6168,KIAH,
JAL643,RJTT,
FDX525,,KLAX
JBU1586,,KBUF
ETH500,,EIDW
IBX35,,RJOA
TAY4803,,EFHK
AM214,,YSSY
QFA752,YBBN,
ASH6142,KIAH,
ASH6223,,KIAD
ASH5970,KDFW,
JAL625,RJTT,
EXJ,,
UCA5003,,KEWR
FDA342,,
LBQ840,KLZU,
DAL1778,,KATL
DAL780,,KMSP
ENY3370,,KDFW
W0N1274,,WIDN
SWA1219,KFLL,
FOIQL,,NTAA
PBD472,,UUWW
NKS483,,KLAS
N972BR,,TX61
ASH5918,,KDFW
JRT,,YSBK
JAL661,RJTT,
N423KT,,KAPA
NKS711,,KLAS
DAL2391,KATL,
ASA76,,KSEA
N87HJ,,KMDW
CFS7774,,KABQ
EDV5279,,KMSP
CSC8035,,ZUCK
ENY3459,KORD,
ASH6373,KIAH,
NKS667,KBWI,
AS5997,KDFW,
JBU321,KBOS,
SKW5571,KDEN,
MNTNA21,,
ASA201,,KSEA
UAL442,KORD,
VTE3006,KBNA,
IRO7568,,KMKE
SH465,,
UPS379,,KMIA
DINGO81,KEGI,
EDV5296,,KATL
ANA662,,RJTT
SWA705,,KDAL
JTE1992,YPPH,
LNI983,,
VOZ9219,,
OXF1580,,KFFZ
ENY3956,KDFW,
XFT,YPPH,
JJP403,,RJOM
HAG53C,,PANC
RA67060,,
SKW5236,KDEN,
URU,,YPAD
GAJ850,KGPI,
IRO7570,,KMKE
ENY3599,KDFW,
N19797,,KFFZ
CSN3457,ZGSZ,
UTY6441,,YBBN
CCA4319,,
AAR197,,RKSI
N628MC,,
RPA4578,,KDCA
QLK722D,YBBN,
SBI2626,,UUDD
THY6123,,LTBW
NWK1626,YPPH,
UAL2460,22CO,
CES5831,,
SNJ88,,RJTT
ARL127,GOBD,
CFS7662,,KPDX
MRA682,,KRDU
SKW3015,KORD,
ANA621,RJTT,
N25JA,,PANC
SWA1910,KLAS,
RPA4395,,KPHL
SWA3211,,KBWI
FOIQK,,NTAA
CQH8819,,ZGSD
SKW3030,KDFW,
AM332,,
CHH7767,ZGSZ,
N3221M,,KCOS
AEG402,,EKBI
N109RS,,K61B
ASA49,PANC,
SWA654,,KPHX
AFL1701,,UUEE
PCM7683,,KCCB
CTV940,,WIDD
CSN3181,,
CHH7372,,
JLG25,,KRDU
CHH7239,,
YPH,,YSCH
QLK512D,YBBN,
ANA725,,
HKC830,,VHHH
ASQ4266,,KIAH
EP08EMS,RCSS,
SWA737,,KBWI
JIA5463,KNUN,
SKW4504,KGPI,
RXA3558,,YMML
UAL1887,KDEN,
N533TX,,60IN
N904SH,KSTP,
RPA4462,,KDCA
SBI2617,UUDD,
N252AV,,KSEE
JZA729,,CYUL
DAL2862,KSEA,
RPA3663,,KORD
AAL346,KDFW,
UPS9873,KMIA,
N529NG,,KEIK
SWA1448,,KDAL
SKW3134,,KPHX
CSN3977,,ZGSZ
NWK2619,,YPPH
DAL1227,,KATL
AMF1120,,KSEA
WEN3284,,CYVR
VTS895,PANC,
EDV5410,KATL,
KAL230,,RKSI
SWA310,,KDAL
CDC8737,,ZGSZ
CFS7673,,KPDX
CHH7393,ZGSZ,
CSZ9966,,
SKW2965,KDFW,
RXA3763,YMML,
SKY513,RJTT,
N6755B,,KBOI
ENY3305,KDFW,
IRO7335,,1WI6
N1215G,,KPMP
AAR8906,,RKSS
AMF1927,,KPDX
JJP505,,RJFF
NZM113,NZAA,
SWA2537,,KPHL
CXA8349,,
SKW525H,,KORD
ENY3993,KDFW,
ANA467,RJTT,
SKW2987,,KPHX
ANA806,VTBS,
CSZ9432,,ZGSZ
CFS7778,,KABQ
NKS195,,KFLL
JZA7950,,CYYZ
