Callsign, Origin, Destination
CSN467,EGSS,EDDF
SAY9505,UUEE,EDFH
BCS008P,EINN,EDDP
BCS2214,EDDP,EGGW
TAY4123,LFPG,LFBO
MNB252,EDDP,EGGW
BCS37B,EBBR,EDDP
BCS93C,EDDP,EGNX
BCS192,EDDP,EDDK
BCS120,EDDP,EBBR
BCS25C,EBBR,EDDP
NPT10J,EGSS,EGPH
BCS5335,LZIB,EDDP
BCS99F,EDDP,EGNX
AWC2C,EGSS,EGAA
BCS24M,EDDP,LFPG
BCS388,EDDK,EKCH
ABW454,EHAM,EDDP
NPT04N,EGNX,EGPH
SRR6316,EDDK,LFPG
BCS176,EDDP,EKCH
BCS179,EKCH,EDDP
BCS2582,LFPG,EGNX
AFL1459,UNWW,UUEE
BCS31L,EHAM,EGNX
BCS16T,EGNX,EDDK
NPT01D,EGNX,EGAA
BCS7332,LFPG,EGSS
BCS194,EDDP,EDDK
BCS336,EGNX,EKCH
SRR6978,EDDK,EGNX
TAY4476,EGSS,EBLG
BCS84J,EBBR,EGNX
MSA9784,LIEE,LIRF
BCS364,EGNX,EBBR
BOX391,EGNX,EDDP
ABR1738,LEMD,EGMC
BCS8288,EBBR,LEMD
BCS114,EDDP,EGNX
BCS195,EDDK,EDDP
BCS5202,EBBR,LHBP
SRR6566,EDDK,EGNX
AHO439N,ULLI,EETN
SRR6374,EDDK,LFLL
BCS8930,EGNX,LEMD
BCS10T,EDDP,LEMD
BCS2696,EBBR,EGGW
BCS55D,EDDP,EBBR
SRR6646,EDDK,LPPR
BCS62B,EDDP,EGGW
BCS8530,EDDP,LEBL
SRR6498,EDDK,LIME
BCS23D,EDDP,EGSS
BCS90Y,EDDP,LFPG
BCS280,EDDP,EBBR
BCS73B,EDDP,EDDK
BCS21G,EDDP,EHAM
ABR1537,EDDV,EGNX
TAY4029,EBLG,EIDW
SRR6228,EDDK,EDDB
BCS65U,EBBR,EKCH
AWC2D,EGAA,EGSS
NPT4685,EBLG,EDDV
SRR6118,EDDK,EDDM
AFL035,ULLI,UUEE
NPT4769,EBLG,EFHK
SWT1276,EDDK,LDZA
BCS50Q,EDDP,LZIB
TAY4075,EBLG,LIRA
TAY4274,EBLG,ESMS
BCS24J,EDDP,LFLL
TAY4096,EBLG,EDDN
BCS29Q,EDDP,EDDF
SRN1988,EDDK,EPPO
BCS7552,EBBR,LGAV
TAY4195,EBLG,EPKT
TAY4848,EBLG,LOWW
N197PA,EINN,LGSA
TAY4042,EBLG,EDDB
AHO439N,EETN,UUEE
TAY4037,EBLG,LEMD
BCS3612,EDDP,EFHK
SRR3596,EDDP,ESSA
BCS26N,EDDP,EDDM
BCS128,EDDP,EDDF
TAY4149,EBLG,LIPZ
BCS15N,EDDP,EPGD
BCS5706,EDDP,LROP
BCS4982,EDDP,LSGG
BCS2120,EDDP,LIMC
BCS5446,EDDP,EPWA
TAY4089,EBLG,LKPR
TAY4583,EBLG,ESGG
BCS76K,EDDP,LHBP
TAY4365,EBLG,LGAV
BCS7836,EDDP,LGAV
TAY4851,EBLG,LFLL
TAY4958,EBLG,LPPR
TAY4017,EBLG,EPWA
TUP952,EDDP,UUEE
BCS3844,EDDP,EKBI
BCS4026,EDDP,LOWL
ABW325,UUEE,EHAM
BCS43C,EDDP,EPKT
BCS18D,EDDP,EYVI
BCS7078,EDDP,LIRA
AFL033,ULLI,UUEE
BCS2213,EGGW,EDDP
NPT4679,EBLG,LROP
WZZ8284,LROP,EKBI
ABR1441,EDDK,LIMC
BCS4214,EDDP,EDDS
WZZ1260,LROP,EGPH
BCS4621,EDDK,EDDS
VJT683,UMMS,EDDB
AEG403,EKBI,EDSB
BCS2130,EGGW,EGNX
BCS916,EDDP,UKBB
WZZ39,LROP,EGGW
SRR6978,EGNX,EGAA
BCS2882,EGNX,EIDW
ICV73L,LIMC,ELLX
SRR6382,LFML,LFBD
BCS27L,EGNX,EGPH
NPT4632,EDDE,EKBI
WZZ65,LROP,EHEH
BCS95W,EBBR,LFBD
NPT4685,EDDV,ENGM
THY6391,UKBB,LHBP
TAY4096,EDDN,LHBP
UTA343,UUWW,UWKD
NPT023J,EGNX,EGJB
ABR1361,EGNX,LEMD
BCS3998,EGNX,BIKF
SRR6374,LFLL,LFBO
SRR6118,EDDM,LGAV
PBD204,ULLI,UUWW
ABR1471,EGNX,EDDK
BCS2215,EGSS,EDDK
BCS2406,EGNX,EGAA
BCS3848,EKCH,EFHK
TAY4274,ESMS,EPGD
BCS200P,LFLL,EDDP
BCS4852,EDDP,LJLJ
TVS432F,ESOW,LKPR
SAS481,ESSA,ENGM
WZZ14,LHBP,EDLW
AFL047,ULLI,UUEE
WZZ102,LHBP,EGGW
BCS37K,EPGD,EETN
NOS2,LIMC,EGSS
TAY4089,LKPR,LKTB
SRR6566,EGNX,EGPH
AZA1590,LIEE,LIRF
BCS3264,EKCH,ESGG
SAS4556,ENVA,ENBO
BCS202P,LFML,EDDP
EWG3XG,EDDL,LEMG
SRR6498,LIME,LIPE
JON31,ESND,ESSA
LSV401,LIRF,LJLJ
TAY4149,LIPZ,LJLJ
ABW176,EDDP,UUEE
ABR1538,EGNX,LIMC
BCS2120,LIMC,EGNX
SAS1205,EKCH,EKYT
AZA1559,LIEE,LIMC
BCS9614,EDDF,LDZA
BCS294P,LZIB,EDDP
BCS2938,EGNX,EINN
TAY4216,LFML,LEVC
NAX522,ENGM,ENZV
OKRLV,LKPR,LKMT
SAS308,ENGM,ENHD
DLH7CH,EDDH,EDDF
SWT6LC,LEMD,LEVC
NVD9601,EYVI,EHAM
BCS3162,EKCH,ENZV
SAS49E,ENGM,ENZV
ABR1255,LFPG,EDDP
TAY4572,LIRA,EBLG
AEE2BR,LGAV,EBBR
EWG65M,EDDS,EDDH
DLH9KF,EDDM,EDDF
LOT8675,EPWA,ENGM
BCS5780,EYVI,EVRA
AZA2013,LIMC,LIRF
SDM6587,ULLI,UUYY
VND3121,LIEE,LIML
SRN6938,EPWA,UKKK
SWT2PM,LEMD,LPPR
MOZ331,LOWW,UUEE
SAS54C,ESSA,EKCH
AMC7612,LMML,LIRF
SRR6646,LPPR,LPPT
BRU865,UMMS,LFPG
SDM6233,ULLI,UWWW
BCS8287,LEMD,EBBR
AFL003,ULLI,UUEE
VLJ33AD,LSGG,EIDW
NPT4769,EFHK,EFTU
ABR1442,LIMC,EDDK
NAX4RZ,ENGM,ENBO
AFR6001,LFML,LFPG
RYR2QC,EIDW,LPPT
BCS6823,LEMD,EDDP
BAW428,EGLL,EHAM
DFCOC,EDDS,EDVE
BRU9101,UMMS,LOWW
AFR134J,LFPG,EHAM
CTN5NL,LDZA,EHAM
SAS56T,ENGM,EKCH
DIBET,EDDB,LEVC
SEH211,LGIR,LGAV
BRX23Z,ESMS,ESSB
DLH5AF,EDDF,EGLL
TAY4958,LPPR,LPPT
PHKIO,EHGG,EHRD
AFL1603,UWWW,UUEE
SXN51D,EGSH,EDVK
SAS1206,EKYT,EKCH
BRX307Y,ESTA,ESSB
CGF3318,EDDP,ENGM
BCS7079,LIRA,EDDP
SAS44K,ESSA,EFHK
SAS4010,ENZV,ENGM
SAS73L,ENHD,ENGM
LOT8603,EPWA,EGLL
SHT86L,EGLL,EGAC
DLH2EP,EDDF,EKCH
OOHEY,EBAW,EBOS
OKRLV,LKMT,LKTB
SAS71L,ESSA,ESGG
BAW812,EGLL,EKCH
KAL541,LOWW,ENGM
DEUCK,EDDN,EDDW
BCS13G,EDDF,EGLL
WZZ4BR,EKBI,LROP
DLH54M,EDDF,LOWW
DLH3MM,EDDF,EHAM
DLH56V,EDDF,LFPG
SAS347,ENVA,ENGM
BCS6891,EGNX,EDDP
AHO217Z,EVRA,UMMS
AZA572,LIRF,LSZH
WZZ6917,EDLW,LHBP
CTN416,LDZA,EDDF
RYR50,LMML,LIME
OAL3IR,LGIR,LGAV
ATL4U,LGAV,LEPA
ABR1470,EDDK,EGNX
RYR9EH,EGSS,EDDB
AFR16WB,LFPG,EDDM
REV919P,EGNX,EGHH
DLH2VC,EDDF,EDDH
AYY151,EGBB,EDDK
DLH8UX,EDDF,EDDM
ABR1739,EGMC,LEMD
DICSH,EDDH,EDDP
EWG4YG,EDDH,EDDS
SAS58E,EKCH,ESSA
LNKGW,ENVA,ENGM
FCK311,LOWK,LOWW
SHT8F,EGLL,EGPH
IBE31CM,LEMD,EGLL
LWG302,LYBE,LIRF
DLH9VV,EDDF,EBBR
ABB32P,LFPG,EBBR
PBD210,ULLI,UUWW
DEZPA,EDDV,EDDH
DLH8CN,EDDF,LSZH
AZA1591,LIRF,LIEE
AZA576,LIRF,LSGG
SXN30P,EGSH,ESMS
BCS9613,LDZA,EDDF
ABW282,EDDF,UUEE
OEFIX,EDDM,EDDV
AZA202,LIRF,EGLL
SDM6027,ULLI,UUWW
AZA9481,LIRF,LOWW
VLG21GU,LEMG,LEBL
LOT8681,EPWA,BIKF
AZA1617,LIRF,LIBD
SAS1464,EKCH,ENGM
WZZ51XS,EGGW,LHBP
LOT8703,EPWA,EGLL
WZZ1063,EGPH,LROP
SAS707,EFHK,ESSA
AFL011,ULLI,UUEE
AZA84A,LIRF,LFPG
ADN21B,EDDN,LIME
SAS142,ESGG,ESSA
PHBBJ,EHRD,LIMJ
ABR1539,LIMC,EDDV
WZZ8865,EHEH,LROP
NAX1BG,ENBO,ENGM
JTG9085,EFHK,LEMG
SAZ61,LSZH,LEVC
OOVSB,EBOS,LFQQ
ABR1256,EDDP,LFPG
FCK511,EDVE,EDDS
AFL1286,UUEE,UWLL
DOC99,EKYT,EKSN
REV919,EGHH,EGJJ
WZZ3,EGGW,LROP
LRQ194D,ELLX,LEPA
AFR10FG,LFPG,LPPT
BFD01T,EDLP,EDVK
IBE32FL,LEMD,EBBR
SAS85G,ENGM,ENZV
DCOLT,EDQM,EDDB
AZA2036,LIRF,LIMC
GMA143B,EGPF,EGNM
BAW429,EHAM,EGLL
LOT8676,ENGM,EPWA
AMC4394,LMML,EHAM
AMC7613,LIRF,LMML
JET4,ESSB,LEBL
ABR1362,LEMD,LIMC
EWG7ZM,EDDH,LEPA
GAC999V,LSGG,LEMD
ABR1443,EDDK,LEMD
SHT88T,EGAC,EGLL
TVS55J,LKPR,BIKF
5BCKO,EDDH,EDDV
EWG6LW,LEBL,EDDL
AFR6008,LFPG,LFML
SAT3004,LPPD,LPAZ
DLH3CF,EKCH,EDDF
IBE3402,LEMD,LFPG
DLH9U,EGLL,EDDF
AFR13NL,EHAM,LFPG
DLH8A,EHAM,EDDF
SAS4106,ENGM,ENBO
00000000,ESKM,ESSP
SEH345,LGSR,LGAV
SAS336,ENGM,ENVA
SAS1131,ESSA,ESDF
DLH8V,LOWW,EDDF
DILCG,EDDP,EDDF
BGA114H,LFBO,EGNR
DLH8Y,EBBR,EDDF
DLH8KV,LIMC,EDDF
DLH8UT,EDDH,EDDF
DLH7C,LSZH,EDDF
BAW813,EKCH,EGLL
BNO92J,ENBR,ENZV
AFR162Q,EDDM,LFPG
NAX526,ENGM,ENZV
RYR5QR,LPPT,EIDW
NJE061L,EHRD,LSZH
DLH8XC,EDDM,EDDF
AFL013,ULLI,UUEE
DISSS,EDLW,EDDL
SEKLR,ESOW,ESSD
NAX525,ENZV,ENGM
AHO217Z,UMMS,EGGW
REV919P,EGJJ,EGNX
SHT6L,EGLL,EGPF
OAL045,LGST,LGAV
AZA571,LSZH,LIRF
BHL81F,ENZV,ENHD
RYR2TM,EDDB,EGSS
NAX744,ENGM,ENVA
BRU897,UMMS,EDDV
EWG8VM,LEMG,EDDL
HBKLE,LSGG,LSZB
OOHEY,EBOS,EBAW
RZO009F,LPPT,LPPD
ABW326,EHAM,UUEE
BAW4DC,EGLL,LFPG
AZA1612,LIBD,LIRF
EWG2BV,EDDS,LEMG
SAS531,ESSA,EGLL
EWG12H,EDDL,EGLL
AEE3BR,EBBR,LGAV
CTN4AS,EHAM,LDZA
SAS411P,ENZV,ENGM
AZA1784,LICJ,LIRF
OAL2RV,LGRP,LGAV
BCS6717,EGLL,EDDF
BRU866,LFPG,UMMS
AZA205,LIRF,EGLL
SAS072,ESSA,ESNZ
IBE09GK,LEMD,LEBL
DLH2J,LFPG,EDDF
