Callsign, Origin, Destination,Day
BCS55D,EDDP,EBBR,2020-04-01 
SRR6646,EDDK,LPPR,2020-04-01 
BCS62B,EDDP,EGGW,2020-04-01 
BAW18,RKSI,EGLL,2020-04-01 
BCS8530,EDDP,LEBL,2020-04-01 
SRR6498,EDDK,LIME,2020-04-01 
BCS23D,EDDP,EGSS,2020-04-01 
SIA326,WSSS,EDDF,2020-04-01 
BCS90Y,EDDP,LFPG,2020-04-01 
BCS280,EDDP,EBBR,2020-04-01 
BCS73B,EDDP,EDDK,2020-04-01 
A7MED,OTBD,LSGG,2020-04-01 
BCS21G,EDDP,EHAM,2020-04-01 
ABR1537,EDDV,EGNX,2020-04-01 
AFL1407,USSK,UUEE,2020-04-01 
TAY4029,EBLG,EIDW,2020-04-01 
AEA642,KMIA,LEMD,2020-04-01 
SRR6228,EDDK,EDDB,2020-04-01 
BCS65U,EBBR,EKCH,2020-04-01 
AWC2D,EGAA,EGSS,2020-04-01 
NPT4685,EBLG,EDDV,2020-04-01 
AFR6905,KATL,LFPG,2020-04-01 
SRR6118,EDDK,EDDM,2020-04-01 
GTI8505,EDFH,KPSM,2020-04-01 
AFL035,ULLI,UUEE,2020-04-01 
NPT4769,EBLG,EFHK,2020-04-01 
SWT1276,EDDK,LDZA,2020-04-01 
BCS50Q,EDDP,LZIB,2020-04-01 
TAY4075,EBLG,LIRA,2020-04-01 
TAY4274,EBLG,ESMS,2020-04-01 
BCS24J,EDDP,LFLL,2020-04-01 
TAY4096,EBLG,EDDN,2020-04-01 
BCS29Q,EDDP,EDDF,2020-04-01 
SRN1988,EDDK,EPPO,2020-04-01 
DLH345,MROC,EDDF,2020-04-01 
FIN142,VTBS,EFHK,2020-04-01 
BCS7552,EBBR,LGAV,2020-04-01 
TAY4195,EBLG,EPKT,2020-04-01 
BAW48Q,KSEA,EGLL,2020-04-01 
TAY4848,EBLG,LOWW,2020-04-01 
N197PA,EINN,LGSA,2020-04-01 
TAY4042,EBLG,EDDB,2020-04-01 
AHO439N,EETN,UUEE,2020-04-01 
TAY4037,EBLG,LEMD,2020-04-01 
BCS3612,EDDP,EFHK,2020-04-01 
SRR3596,EDDP,ESSA,2020-04-01 
BCS26N,EDDP,EDDM,2020-04-01 
BCS128,EDDP,EDDF,2020-04-01 
TAY4149,EBLG,LIPZ,2020-04-01 
BCS15N,EDDP,EPGD,2020-04-01 
BCS5706,EDDP,LROP,2020-04-01 
BCS4982,EDDP,LSGG,2020-04-01 
BCS2120,EDDP,LIMC,2020-04-01 
BCS5446,EDDP,EPWA,2020-04-01 
TAY4089,EBLG,LKPR,2020-04-01 
TAY4583,EBLG,ESGG,2020-04-01 
BCS76K,EDDP,LHBP,2020-04-01 
TAY4365,EBLG,LGAV,2020-04-01 
BCS7836,EDDP,LGAV,2020-04-01 
KZR937,UAAA,EDDF,2020-04-01 
TAY4851,EBLG,LFLL,2020-04-01 
TAY4958,EBLG,LPPR,2020-04-01 
TAY4017,EBLG,EPWA,2020-04-01 
TUP952,EDDP,UUEE,2020-04-01 
BCS3844,EDDP,EKBI,2020-04-01 
TAM8084,SBGR,EGLL,2020-04-01 
