Callsign, Origin, Destination
DAL220,EHAM,LFPG
MSR759,LIMC,EKCH
IBK5125,EFHK,LEMG
WZZ6192,LPPT,UKKK
SAS6204,LEMG,EKCH
MABJA,LGAV,EGSS
AFL2393,LSZH,UUEE
PIA785,EGCC,EGLL
AFL2339,EDDS,UUEE
AFL2193,EHAM,UUEE
AFL2595,EDDM,UUEE
WZZ1774,BIKF,EPGD
WZZ962,EGCN,LRCL
RZO129,LPPT,LPPD
WZZ2ZT,EGGP,LRCL
AFL2423,LIPZ,UUEE
AFL2591,EIDW,UUEE
ABR1737,EGMC,LEMD
AFL2377,LFLL,UUEE
TAP746,LPPT,EFHK
AFL2619,EBBR,UUEE
RYR85QT,EPKK,EGSS
AEE609,EGLL,LGAV
CSA898,LKPR,UUEE
AFL2575,EGLL,UUEE
TUP953,UUEE,EDDP
WUK8123,EGGW,ULLI
AFL2469,LHBP,UUEE
WZZ1DH,EGGP,EPKT
AFL2093,LYBE,UUEE
AFL2113,LGAV,UUEE
AFL2405,LIRF,UUEE
RYR9KC,LGAV,EBCI
AFL2461,LFPG,UUEE
EZY97GJ,LSGG,EGGD
RYR459J,EVRA,EIDW
AFL2497,EKCH,UUEE
AFL2415,LIMC,UUEE
AFL2529,LEMG,UUEE
AFL2317,EDDB,UUEE
AFL2429,LIPE,UUEE
RYR4LB,LEMD,EIDW
RYR50XW,EPRZ,EGGW
TAP1200,LPPT,UUDD
UTA577,UUWW,ULMM
AFL036,UUEE,ULLI
AFL2355,LOWW,UUEE
SAS9036,ESSA,EKCH
AFL1323,ULMM,UUEE
SCW8031,LIMF,ESSA
UTA437,UUWW,UWWW
WZZ1751,EGGW,LHBP
STK277B,EGBB,EIDW
STK329M,EGCC,EIDW
RYR9ZN,EIDW,EGNM
AFL2605,LEMD,UUEE
AFL2017,LKPR,UUEE
AFL2535,ENGM,UUEE
ABR1551,EGNX,EDDP
AFL2387,ESSA,UUEE
TAP1865,LPPT,LPPD
RYR8VN,EPWR,EICK
N151SD,EGNX,EGCC
AFL1288,UUEE,UWLL
RYR9UR,EGSS,EIDW
RYR1ZE,EGGP,EIDW
AFL2119,EVRA,UUEE
RYR6MB,EIDW,EGBB
AFL7600,UUEE,UWGG
SDM5714,UUWW,ULLI
AFL047,ULLI,UUEE
