Callsign, Origin, Destination,Day
ETH3725,VOMM,EBBR,2020-09-01 
CXA811,KLAX,EHAM,2020-09-01 
MPH8342,FAOR,EHAM,2020-09-01 
CSC8225,VIDP,EBBR,2020-09-01 
AFR253A,VTBS,LFPG,2020-09-01 
IBE6317,LEMD,MROC,2020-09-01 
LOT2001,LHBP,RKSI,2020-09-01 
AFR166,LFPG,VTBS,2020-09-01 
LOT3,EPWA,KORD,2020-09-01 
BAW16,WSSS,EGLL,2020-09-01 
BAW269,EGLL,KLAX,2020-09-01 
IBE6741,LEMD,SKBO,2020-09-01 
BAW32,VHHH,EGLL,2020-09-01 
DLH797,VHHH,EDDF,2020-09-01 
SIA322,WSSS,EGLL,2020-09-01 
N878SC,VHHH,EFHK,2020-09-01 
LOT45,EPWA,CYYZ,2020-09-01 
KLM840,WSSS,EHAM,2020-09-01 
N1624K,LSZH,KBOS,2020-09-01 
CAL073,RCTP,EHAM,2020-09-01 
AIC130,EGLL,VABB,2020-09-01 
CPA251,VHHH,EGLL,2020-09-01 
SIA352,WSSS,EKCH,2020-09-01 
KLM888,VTBS,EHAM,2020-09-01 
DLH773,VTBS,EDDF,2020-09-01 
SIA324,WSSS,EHAM,2020-09-01 
CPA255,VHHH,EGLL,2020-09-01 
ABW103,EHAM,KORD,2020-09-01 
KLM876,VTBS,EHAM,2020-09-01 
AAR542,EDDF,RKSI,2020-09-01 
WGN3367,EHAM,KORD,2020-09-01 
AFR995,FAOR,LFPG,2020-09-01 
CPA219,VHHH,EGCC,2020-09-01 
CPA250,EGLL,VHHH,2020-09-01 
BAW31,EGLL,VHHH,2020-09-01 
ANA212,EGLL,RJTT,2020-09-01 
JAL44,EGLL,RJTT,2020-09-01 
BOX491,KDFW,EDDF,2020-09-01 
AFR457,SBGR,LFPG,2020-09-01 
KAL908,EGLL,RKSI,2020-09-01 
BOX690,EDDF,VOMM,2020-09-01 
BAW246,SBGR,EGLL,2020-09-01 
KLM875,EHAM,VTBS,2020-09-01 
CFC4031,CYBG,EDDK,2020-09-01 
TAP2552,SBGR,LPPT,2020-09-01 
IBE6314,MROC,LEMD,2020-09-01 
TAP2565,LPPT,KMIA,2020-09-01 
KAL902,LFPG,RKSI,2020-09-01 
KAL8514,LIMC,RKSI,2020-09-01 
AIC120,EDDF,VIDP,2020-09-01 
CKS1397,OBBI,EDDP,2020-09-01 
KLM835,EHAM,WSSS,2020-09-01 
AFR225,VIDP,LFPG,2020-09-01 
