Callsign, Origin, Destination,Day
UTN4904,VIDP,UKBB,2020-07-01 
N707WE,KSAT,LEBL,2020-07-01 
BAW172,KJFK,EGLL,2020-07-01 
DLH459,KSFO,EDDM,2020-07-01 
AFL103,KJFK,UUEE,2020-07-01 
PBD446,UNEE,UUWW,2020-07-01 
DLH475,CYUL,EDDM,2020-07-01 
ACA870,CYUL,LFPG,2020-07-01 
BAW208,KMIA,EGLL,2020-07-01 
BOX481,KLAX,EDDF,2020-07-01 
KAL9509,RKSI,UUEE,2020-07-01 
DLH719,RKSI,EDDM,2020-07-01 
ABX964,EGNX,KJFK,2020-07-01 
ACA854,CYVR,EGLL,2020-07-01 
KAL539,RKSI,EDDF,2020-07-01 
BCS966,EDDP,KJFK,2020-07-01 
GTI8010,KORD,EHAM,2020-07-01 
KLM644,KJFK,EHAM,2020-07-01 
ABW237,UUEE,VHHH,2020-07-01 
BAW98,CYYZ,EGLL,2020-07-01 
SBI2504,UNNT,UUDD,2020-07-01 
BAW138,VABB,EGLL,2020-07-01 
ETH3721,VHHH,EHBK,2020-07-02 
BAW51B,KBOS,EGLL,2020-07-01 
SDM6232,UWWW,ULLP,2020-07-01 
ABW305,ZGSZ,EDDP,2020-07-01 
BAW24R,KORD,EGLL,2020-07-01 
N805DB,KYIP,EINN,2020-07-01 
IBE6586,SKBO,LEMD,2020-07-01 
LOT1004,KORD,EPWA,2020-07-01 
BAW3C,KIAD,EGLL,2020-07-01 
JAL43,RJTT,EGLL,2020-07-01 
SBI3062,UHBB,UUDD,2020-07-01 
OKAOA,LKPR,ULLP,2020-07-01 
BAW6B,KSFO,EGLL,2020-07-01 
TAM8064,SBGR,LEMD,2020-07-01 
TAM8084,SBGR,EGLL,2020-07-01 
KAL9575,VIDP,LOWW,2020-07-01 
EAK5126,UAAA,LIMJ,2020-07-01 
AFL033,ULLI,UUEE,2020-07-01 
BAW118,VOBL,EGLL,2020-07-01 
ANA215,RJTT,LFPG,2020-07-01 
AFL1307,UNNT,UUEE,2020-07-01 
ETD72E,OMAA,EIDW,2020-07-01 
ARG1132,SAEZ,LEMD,2020-07-01 
KLM742,SKBO,EHAM,2020-07-01 
AAR541,RKSI,EDDF,2020-07-01 
ETD68W,OMAA,LEMD,2020-07-01 
BAW192,KDFW,EGLL,2020-07-01 
AFL213,VHHH,UUEE,2020-07-01 
RBA3,WBSB,EGLL,2020-07-01 
ICE761,EBLG,KBOS,2020-07-01 
KAL937,RKSI,LOWW,2020-07-01 
BOX592,EDDP,VIDP,2020-07-01 
WGN0188,KDOV,EBLG,2020-07-01 
MPH6912,KMIA,EHAM,2020-07-01 
ETD7,OMAA,EDDF,2020-07-01 
PBD204,ULLI,UUWW,2020-07-01 
MEDVC4B,OERY,EDDF,2020-07-01 
ETD39B,OMAA,LSZH,2020-07-01 
KAL923,RKSI,UUEE,2020-07-01 
SOO098,EDDP,VHHH,2020-07-01 
ETD26N,OMAA,LIMC,2020-07-01 
EVA069,RCTP,EGLL,2020-07-01 
KAL901,RKSI,LFPG,2020-07-01 
KLM808,RCTP,EHAM,2020-07-01 
ENT534P,OERK,EPWA,2020-07-01 
MEDVC4A,KACY,EDDF,2020-07-01 
BOX518,EDDP,OBBI,2020-07-01 
KAL907,RKSI,EGLL,2020-07-01 
ETD46X,OMAA,EBBR,2020-07-01 
N708JH,EHAM,OMDB,2020-07-01 
KLM888,VHHH,EHAM,2020-07-01 
SBI2508,UNNT,UUDD,2020-07-01 
MEA211,OLBA,LFPG,2020-07-01 
DHK922,EBBR,KMIA,2020-07-01 
AFL003,ULLI,UUEE,2020-07-01 
SNM572,LIML,DAAG,2020-07-01 
BOX580,EDDP,RKSI,2020-07-01 
BOX530,EDDP,WSSS,2020-07-01 
AFL010,UUEE,ULLP,2020-07-01 
ETH500,EIDW,KIAD,2020-07-01 
KAR302,UHBB,UUEE,2020-07-01 
ETH3706,KJFK,EBBR,2020-07-01 
ABW107,OMDB,EHAM,2020-07-01 
ABW393,RKSI,EDDP,2020-07-01 
SWT8734,LEMD,GMMN,2020-07-01 
ASL500,LYBE,KJFK,2020-07-01 
PBD203,UUWW,ULLP,2020-07-01 
MPH6122,KMIA,EHAM,2020-07-01 
LOT1072,VIDP,EPWA,2020-07-01 
SDM6027,ULLI,UUWW,2020-07-01 
BBC001,VGTJ,EGLL,2020-07-01 
