Callsign, Origin, Destination
BCS3788,EPGD,EETN
BCS27L,EGNX,EGPH
BCS9614,EDDP,LDZA
BCS5446,EDDP,EPWA
BCS76K,EDDP,LHBP
SWT112,LEBL,LEPA
SUS693,KTEB,EGGW
TAY4216,LEBL,LEVC
MAREA,UAAA,EDDL
TUP6494,UNNT,UUEE
SVR3988,LIMC,USSS
BAW286,KSFO,EGLL
LOT1004,KORD,EPWA
AAR541,RKSI,EDDF
UTA560,URML,UUWW
CKS203,KEWR,EHAM
BCS1926,LFML,LFBO
SRR6498,LIME,LIPE
SVF624,ESSA,ESPA
BOX550,EDDP,RKSI
WZZ4623,LROP,ENTO
ABR1625,EGMC,LIMC
SRR6566,EGNX,EGPH
AFR5395,KORD,LFPG
AZG9783,VHHH,ELLX
TAY4586,ESOE,EVRA
ABR1552,EDDP,LIMC
BAW98,CYYZ,EGLL
SIA326,WSSS,EDDF
LOT9011,EPWA,EPKK
AFL1410,UUEE,USSS
VCG1EG,EGSS,LKPR
BCS5780,EYVI,EVRA
BCS7922,LFML,LMML
CMB503,EDFH,LICC
AFL006,UUEE,ULLI
ABR1738,LEBL,EGMC
WZZ14,LHBP,EDLW
SQP907,UKBB,EDDF
GFA017,EDDF,LFPG
WZZ102,LHBP,EGGW
LGL3769,ELLX,LPPR
KAL905,RKSI,EDDF
PBD163,UUWW,URWA
FAH5572,EDDP,LKMT
AZA1590,LIEE,LIRF
KAL901,RKSI,LFPG
LGL9561,ELLX,EDDR
WZZ98,LHBP,EHEH
ABD4523,EHBK,EBLG
BCS548,OBBI,EDDP
DLH65M,EDDF,LEMD
T7KSN,ULLI,UUEE
TWY95,KLAX,EGSS
SBI5003,UNNT,ULLI
KAL907,RKSI,EGLL
BTI30W,EVRA,EFHK
WZZ82PR,EYVI,EDLW
WZZ163,LHBP,LFPG
BTI43N,EETN,EHAM
BTI243,EVRA,EDDF
LGL91MU,ELLX,EDDM
BOX534,EDDF,WSSS
ABR1538,EGNX,LIMC
BTI6RV,EVRA,EHAM
W11,EFTP,EFKU
EWG7170,EDDH,EDDM
DCS703,EDDL,EPWR
SAS332,ENGM,ENVA
GZP9625,UUMO,ULLI
SBI2508,UNNT,UUDD
DLH3LA,EDDF,ESSA
SRN6912,EYKA,EVRA
ETH500,EIDW,KIAD
