Callsign, Origin, Destination,Day
CES553,YSSY,LFPG,2020-02-01 
CXA811,YMML,EHAM,2020-02-01 
DKH1607,RJBB,EFHK,2020-02-01 
ETH574,SBGR,EIDW,2020-02-01 
ETD72E,YMML,EIDW,2020-02-01 
LNX12MO,KTEB,EGGW,2020-02-01 
HFY311P,EBBR,YBBN,2020-02-01 
HVN63,RJTK,UUEE,2020-02-01 
CES551,KLAX,EGLL,2020-02-01 
CES201,WSSS,EGKK,2020-02-01 
OMA241,LIMC,VIDP,2020-02-01 
CCA963,RKSI,EDDL,2020-02-01 
HVN37,RKSI,EDDF,2020-02-01 
OMA153,VIDP,LSZH,2020-02-01 
QFA9,YPPH,EGLL,2020-02-01 
MAU14,FAOR,LFPG,2020-02-01 
KLM743,EHAM,SPJC,2020-02-01 
CGVKI,LGIR,OERK,2020-02-01 
IBE6659,LEMD,SPJC,2020-02-01 
QFA10,EGLL,YPPH,2020-02-01 
ETH706,FAGC,EDDF,2020-02-01 
AFR480,LFPG,SPJC,2020-02-01 
ETH730,FACT,EBBR,2020-02-01 
OMA115,WMKK,EDDF,2020-02-01 
OAE703,LRBS,KIAD,2020-02-01 
BAW44N,EGLL,KSAN,2020-02-01 
ETH500,OMDB,EIDW,2020-02-01 
CPA292,LIRF,VHHH,2020-02-01 
KLM867,EHAM,RJBB,2020-02-01 
VJT827,LIRA,KOPF,2020-02-01 
DAL119,LFPG,KLAX,2020-02-01 
AEA193,LEMD,SKBO,2020-02-01 
NRS7173,EGKK,KSFO,2020-02-01 
AEA097,LEMD,KMIA,2020-02-01 
MMD11,EKBI,KFLL,2020-02-01 
DLH714,EDDM,RJTT,2020-02-01 
BAW9CG,EGLL,KPHX,2020-02-01 
NRS7506,SAEZ,EGKK,2020-02-01 
BAW49,EGLL,KSEA,2020-02-01 
DAL85,LFPG,KATL,2020-02-01 
AVA011,LEMD,SKBO,2020-02-01 
AAR532,LIPZ,RKSI,2020-02-01 
RWD700,FAGC,EBBR,2020-02-01 
LAN706,SPJC,LEMD,2020-02-01 
AFR166,LFPG,VTBS,2020-02-01 
BAW287,EGLL,KSFO,2020-02-01 
DLH2C,EDDM,KORD,2020-02-01 
LOT97,EPWA,RKSI,2020-02-01 
BAW16,WSSS,EGLL,2020-02-01 
FIN101,EFHK,VHHH,2020-02-01 
CFG246,EDDM,MDBG,2020-02-01 
AFR257,WSSS,LFPG,2020-02-01 
ANZ1,EGLL,KLAX,2020-02-01 
BAW119,EGLL,VOBL,2020-02-01 
BAW97A,EGLL,KIAH,2020-02-01 
DLH718,EDDM,RKSI,2020-02-01 
KQA112,FABA,LFPG,2020-02-01 
AOJ95C,VTBD,LIPX,2020-02-01 
FIN77,EFHK,RJBB,2020-02-01 
DAL33,EGLL,KATL,2020-02-01 
AFR185,VHHH,LFPG,2020-02-01 
FIN141,EFHK,VTBS,2020-02-01 
FIN23,EFHK,MDBG,2020-02-01 
CCA771,ZGSZ,EDDF,2020-02-01 
DLH432,EDDF,KORD,2020-02-01 
BAW12,WSSS,EGLL,2020-02-01 
MAS2,WMKK,EGLL,2020-02-01 
BAW269,EGLL,KLAX,2020-02-01 
KLM856,RKSI,EHAM,2020-02-01 
BAW32,VHHH,EGLL,2020-02-01 
EVA087,RCTP,LFPG,2020-02-01 
KLM810,WMKK,EHAM,2020-02-01 
DLH797,VHHH,EDDF,2020-02-01 
FIN132,WSSS,EFHK,2020-02-01 
AUI272,VTBS,UKBB,2020-02-01 
DLH779,WSSS,EDDF,2020-02-01 
BAW34,WMKK,EGLL,2020-02-01 
IBE6117,LEMD,KMIA,2020-02-01 
KAL8510,EHAM,RKSI,2020-02-01 
CPA251,VHHH,EGLL,2020-02-01 
SIA322,WSSS,EGLL,2020-02-01 
KLM655,EHAM,KMSP,2020-02-01 
DLH791,WSSS,EDDM,2020-02-01 
BAW28,VHHH,EGLL,2020-02-01 
LOT26,EPWA,KJFK,2020-02-01 
KAL924,UUEE,RKSI,2020-02-01 
SIA352,WSSS,EKCH,2020-02-01 
SDM6276,VTBS,UUEE,2020-02-01 
KLM166,EHAM,KATL,2020-02-01 
BAW31F,EGLL,KDFW,2020-02-01 
FIN144,VTBS,EFHK,2020-02-01 
LOT45,EPWA,CYYZ,2020-02-01 
SIA324,WSSS,EHAM,2020-02-01 
NAX43J,LEMD,KLAX,2020-02-01 
KLM875,EHAM,VTBS,2020-02-01 
DLH404,EDDF,KJFK,2020-02-01 
ARG1134,SAEZ,LEMD,2020-02-01 
LOT23H,EPWA,KLAX,2020-02-01 
SIA356,WSSS,LIMC,2020-02-01 
EVA065,RCTP,LOWW,2020-02-01 
CFG291,FACT,EDDF,2020-02-01 
AFR422,LFPG,SKBO,2020-02-01 
RBA003,WBSB,EGLL,2020-02-01 
DLH458,EDDM,KSFO,2020-02-01 
BAW275,EGLL,KLAS,2020-02-01 
SIA362,WSSS,UUDD,2020-02-01 
CPA261,VHHH,LFPG,2020-02-01 
AAR542,EDDF,RKSI,2020-02-01 
QFA1,WSSS,EGLL,2020-02-01 
AEA176,SPJC,LEMD,2020-02-01 
SIA26,WSSS,EDDF,2020-02-01 
AEA042,SAEZ,LEMD,2020-02-01 
SIA336,WSSS,LFPG,2020-02-01 
KLM808,RCTP,EHAM,2020-02-01 
CPA343,VHHH,EGKK,2020-02-01 
ACA877,EDDF,CYYZ,2020-02-01 
AFL270,UUEE,VTBS,2020-02-01 
CAL061,RCTP,EDDF,2020-02-01 
LOT68,WSSS,EPWA,2020-02-01 
DLH712,EDDF,RKSI,2020-02-01 
CPA383,VHHH,LSZH,2020-02-01 
KLM887,EHAM,VHHH,2020-02-01 
FIN100,VHHH,EFHK,2020-02-01 
