Callsign, Origin, Destination
TAP9561,LPPT,SBGR
AFR292,LFPG,RJBB
CAL062,EDDF,RCTP
GFA002,EGLL,OBBI
SBI2510,UNNT,UUDD
N114QS,LSGG,KIAD
ABW738,VHHH,UUDD
DAL3343,EDDF,KORD
AFR4141,DAAG,LFPG
SIA345,LSZH,WSSS
EVA088,LFPG,RCTP
BAW58L,FACT,EGLL
N112QS,EBBR,KIAD
AZU8751,LPPT,SBKP
BOX519,VHHH,EDDP
FPO926,DAAG,LFLL
AZG9974,KORD,EDFH
VJT884,UUWW,KMIA
UTA370,ULLP,UUWW
CKS243,EDDP,KCVG
EVA066,LOWW,RCTP
N141QS,LGAV,KIAD
VTTRI,EVRA,VIDP
BAW281,EGLL,KLAX
BAW54,FAGM,EGLL
SIA317,EGLL,WSAP
BOX591,VHHH,EDDP
MMM9601,UUWW,USSS
BAW173,EGLL,KJFK
CPA014,LIMC,VABB
ACA871,LFPG,CYUL
ABX973,KCVG,EGNX
LXJ93,LSGG,KHPN
DLH402,EDDF,KEWR
VJT981,KFLL,EGGW
N150QS,KMIA,EIDW
CPA252,EGLL,VHHH
ACA857,EGLL,CYYZ
BAW117,EGLL,KJFK
CHH7984,LEMD,ZGSZ
AXE8610,LZIB,UAAA
DRU529,UNNT,UUDD
ACA873,EDDF,CYYZ
ACA875,EDDF,CYUL
AFR4146,DAAG,LFPG
MPH8372,FAOR,EHAM
ADB503F,EDDP,UAAA
AFR688,LFPG,KATL
SBI1175,UUDD,USSS
AFR376V,LFPG,DAAG
ACA855,EGLL,CYVR
AFR717,GOBD,LFPG
BAW209,EGLL,KMIA
BCS938,LFPG,GMMN
ART9649,CYUL,EVRA
BAW296,KORD,EGLL
PEG55,LEBL,KEWR
CSN8192,EHAM,ZUCK
BAW287,EGLL,KSFO
CKS204,EHAM,KEWR
MSR520,FAGM,EBOS
DAL73,EHAM,KATL
RAM353,EBBR,GMMN
DAL135,EHAM,KDTW
CPA068,LIMC,VHHH
ABW741,EDDF,KORD
N955CM,EKCH,KSFO
IBE6586,SKBO,LEMD
ICV6738,ELLX,VHHH
ATG2259,LHBP,VHHH
FDB8150,UUEE,OMDB
SOO242,KCVG,EDDP
JAL48,EFHK,RJTT
ETH3508,VHHH,EHBK
BCS932,LEZL,GMTT
BAW193,EGLL,KDFW
AFR185,VHHH,LFPG
CAL061,RCTP,EDDF
AFR4148,DAAG,LFPG
FPO925F,LFLL,DAAG
BAW227,EGLL,KATL
GTI8032,KPOB,EDFH
BAW32,VHHH,EGLL
BAW297,EGLL,KORD
BAW12,WSSS,EGLL
SIA322,WSSS,EGLL
SQP3903,UKBB,UAAA
IBE6117,LEMD,KMIA
