Callsign, Origin, Destination
ETH714,VIDP,ESSA
ADN99S,EDDN,RKSI
BAW287,EGLL,KSFO
AFR185,VHHH,LFPG
CAL061,RCTP,EDDF
BAW12,WSSS,EGLL
KAL592,LEMD,RKSI
BAW32,VHHH,EGLL
BAW119,EGLL,VOBL
LOT1003,EPWA,KORD
BOX691,VVTS,EDDF
AFR201,RKSI,LFPG
ETH700,FAOR,EGLL
CAL073,RCTP,EHAM
AWC661W,KORL,EGSS
SIA322,WSSS,EGLL
AFR267,RKSI,LFPG
AFR258,LFPG,VVTS
SIA26,WSSS,EDDF
SIA324,WSSS,EHAM
CPA251,VHHH,EGLL
ABD5310,FAOR,EBLG
CPA271,VHHH,EHAM
TAM9550,SBGR,EHAM
BAW193,EGLL,KDFW
KAL530,EDDF,RKSI
KAR301,UUEE,UHBB
ABD4755,EGCN,WMKK
OAE519,EINN,KBWI
KAL541,RKSI,LOWW
SIA346,WSSS,LSZH
AFR995,FAGC,LFPG
BOX392,EDDP,KCVG
CSN483,ZGGG,EGSS
AAR796,EDDF,RKSI
SBI3061,UUDD,UHBB
DHK923,KMIA,EBBR
BAW31,EGLL,VHHH
JAL44,EGLL,RJTL
AFR457,SBGR,LFPG
BAW246,SBGR,EGLL
AIC112,EGLL,VIDP
AFR256,LFPG,WSSS
KAL926,EHAM,RKSI
N121SA,KSKA,UUEE
ETH3405,EHBK,KJFK
TAP3110,SBGR,LPPT
CKS978,EBBR,KCVG
MAS3D,EGLL,WMKK
N864AM,BIKF,KIAD
BAW244F,SAEZ,EGLL
BAW55,EGLL,FAGM
EVA078,EHAM,RCTP
AFR191,VOBL,LFPG
CSN487,ZUCK,EHAM
KZR903,UAAA,EHAM
TAP9532,SBGR,LPPT
PBD445,UUWW,UNEE
ENT533,LFPG,OERK
AJT972,EGNX,KCVG
ABG9953,UUWW,VHHH
IBE2883,GOBD,LEMD
PLM541P,VABB,LEMD
LOT1071,EPWA,VIDP
CSN467,ZGGG,EDDF
AUI3771,EYVI,LEMD
ABW9412,EBLG,OMDB
DAL46,KJFK,EHAM
WZZ33,LEBL,EYVI
BOX575,RKSI,EDDP
CSN403,ZUCK,EDDF
BAW247,EGLL,SBGR
ACA872,CYYZ,EDDF
AFR188,LFPG,VHHH
ACA846,CYYZ,EDDM
IBE6124,KMIA,LEMD
CSS7176,ZUCK,EDDF
DAL82,KATL,LFPG
LZB469,LEMG,LBSF
CKS395,KCVG,EDDP
DAL16,KDTW,EGLL
BAW294,KORD,EGLL
MPH7121,EHAM,SBKP
AFL1306,UUEE,UNNT
DLH403,KEWR,EDDF
ACA874,CYUL,EDDF
DAL3340,KORD,EDDF
N610SW,KDAL,LMML
DAL134,KDTW,EHAM
DAL72,KATL,EHAM
VJT957,KMIA,EGGW
BAW112,KJFK,EGLL
AFR291,RJBB,LFPG
DAL74,KATL,EHAM
UTA379,UUWW,UUYY
BUC4XZ,LBWN,EDDV
AFR065,KLAX,LFPG
ABW9504,KCVG,EDDP
DAL14,KATL,EDDF
IAM3170,UNNT,LIPX
N8762M,KPIT,LIRA
ACA2204,CYUL,EFHK
MSA83E,LIPO,LIEE
SBI3064,UHBB,UUDD
BCS71C,EDDP,EBBR
BCS2214,EDDP,EGGW
MSA61P,LIPO,LICJ
ABR1483,EPKT,EDDK
BOX581,VHHH,EDDK
BCS23K,EDDP,EGNX
ENT54AZ,EHAM,LMML
BCS192,EDDP,EDDK
BCS322,LIMC,LEBL
DLH507,SBGR,EDDF
MABEU,EGSS,LGAV
BCS37B,EBBR,EDDP
BCS15Q,EDDP,EHAM
AEG402,ESGJ,EKBI
BCS197,EDDK,EDDP
AFR6739,KORD,EGPK
VJT884,EGGW,UUEE
CAO1041,RCTP,EDDF
NPT4617,EBLG,EDDV
ACA7236,CYUL,LEMD
SWT042,ENBR,ENZV
AFR347,CYUL,LFPG
BCS93C,EDDP,EGNX
VDA3636,OTHH,EGSS
MNB252,EDDK,EGGW
NPT12B,EGNX,EGPH
AFR007,KJFK,LFPG
ABR1737,EGMC,LEBL
BCS120,EDDP,EBBR
ART8472,DAAG,EDDK
ABW239,UUEE,VHHH
AFR5393,KJFK,LFPG
NPT10K,EGSS,EGPH
BAW280,KLAX,EGLL
EAL7009,EIDW,LIRF
BCS25C,EBBR,EDDP
AEA2003,LEBL,LEMD
SVR350,UHBB,UUDD
BCS5335,LZIB,EDDP
CSS7288,VOMM,EBLG
AWC2C,EGSS,EGAA
BCS388,EDDK,EKCH
AAR795,RKSI,UUDD
ETHAWQ,EBBR,OLBA
BAW14K,KJFK,EGLL
BCS99F,EDDP,EGNX
JIV9,ESGG,ESSA
BAW226,KATL,EGLL
BCS24M,EDDP,LFPG
SRR6316,EDDK,LFPG
BCS179,EKCH,EDDP
TAY4806,EDDN,EBLG
BCS32E,LIME,EDDP
SBI2606,UNEE,UUDD
NPT04N,EGNX,EGPH
ACA848,CYYZ,EGLL
UTN4904,VIDP,UKBB
BCS194,EDDP,EDDK
CGF326,EGNX,EDDK
N707WE,KSAT,LEBL
SRR6402,EDDK,LIME
ABR1256,EDDP,LEBL
CGF176,EDDP,EKCH
BAW172,KJFK,EGLL
BCS7933,LIMC,EDDP
DLH459,KSFO,EDDM
BCS84J,EBBR,EGNX
AFL103,KJFK,UUEE
BCS336,EGNX,EKCH
WZZ818,EYVI,LHBP
TAY4484,EGNX,EBLG
SRR6978,EDDK,EGNX
AZA9915,LIMF,LIMC
CXI358,EDDV,LGIR
PBD446,UNEE,UUWW
BCS78G,EGNX,LIMC
DLH475,CYUL,EDDM
