Callsign, Origin, Destination,Day
CSN465,EHAM,EGSS,2020-06-01 
CSN455,EDDF,EHAM,2020-06-01 
SBI6377,UUDD,ULLI,2020-06-01 
TAY4081,EBLG,LROP,2020-06-01 
NPT4769,EBLG,EFTU,2020-06-01 
BCS5102,EDDP,EPGD,2020-06-01 
TUP952,EDDP,UUEE,2020-06-01 
TAY4289,EBLG,LKTB,2020-06-01 
BCS87L,EDDP,EKCH,2020-06-01 
SRR6978,EDDK,EGNX,2020-06-01 
ABR1551,EGNX,EDDP,2020-06-01 
BCS50Q,EDDP,LZIB,2020-06-01 
BCS916,EDDP,UKBB,2020-06-01 
BCS68J,EDDP,LIPE,2020-06-01 
ABR1624,LIMC,EGMC,2020-06-01 
SRR6498,EDDK,LIME,2020-06-01 
TAY4216,EBLG,LEBL,2020-06-01 
ABW195,UUDD,EBLG,2020-06-01 
TAY4365,EBLG,LGAV,2020-06-01 
SRR3612,EDDP,EFHK,2020-06-01 
ABR1737,EGMC,LEBL,2020-06-01 
BCS95W,EDDP,LFBD,2020-06-01 
TAY4349,EBLG,LOWW,2020-06-01 
BCS7836,EDDP,LGAV,2020-06-01 
SRR7801,EGNX,EDDK,2020-06-01 
SRR6646,EDDK,LPPR,2020-06-01 
TAY4037,EBLG,LEMD,2020-06-01 
BCS31M,EDDP,LEBL,2020-06-01 
BCS812,EGNX,EDDP,2020-06-01 
BCS7552,EDDP,LGAV,2020-06-01 
IFA1227,LIMC,EDDN,2020-06-01 
CRV1,EICK,EGSS,2020-06-01 
BCS2882,EGNX,EIDW,2020-06-01 
SRN6912,EDDK,EYKA,2020-06-01 
TAY4958,EBLG,LPPR,2020-06-01 
SRN1904,EDDK,LJLJ,2020-06-01 
BCS28P,EDDP,LFRS,2020-06-01 
TAY4195,EBLG,EPKT,2020-06-01 
BCS18D,EDDP,EYVI,2020-06-01 
BCS3264,EKCH,ESGG,2020-06-01 
BCS10T,EDDP,LEMD,2020-06-01 
BCS294P,LZIB,LIMC,2020-06-01 
SRR703P,LFLL,EDDP,2020-06-01 
SRR6118,EDDK,LGAV,2020-06-01 
AYY108,EDDK,LOWW,2020-06-01 
SRR6315,LFPG,EDDK,2020-06-01 
TAY4990,EBLG,LJLJ,2020-06-01 
ABR1537,EDDV,EGNX,2020-06-01 
BCS7424,LIMC,LIPY,2020-06-01 
BCS2406,EGNX,EGAA,2020-06-01 
SQP903,UKBB,EDDM,2020-06-01 
TAY4075,EBLG,LIRA,2020-06-01 
IGA616,EPWR,LEZG,2020-06-01 
TAY4136,EBLG,EETN,2020-06-01 
BCS5706,EDDP,LROP,2020-06-01 
SRR6978,EGNX,EGAA,2020-06-01 
BCS4850,EDDP,LJLJ,2020-06-01 
BCS3788,EPGD,EETN,2020-06-01 
ICE751,EBLG,BIKF,2020-06-01 
BCS27L,EGNX,EGPH,2020-06-01 
BCS9614,EDDP,LDZA,2020-06-01 
BCS5446,EDDP,EPWA,2020-06-01 
BCS76K,EDDP,LHBP,2020-06-01 
SWT112,LEBL,LEPA,2020-06-01 
TAY4216,LEBL,LEVC,2020-06-01 
UTA560,URML,UUWW,2020-06-01 
BCS1926,LFML,LFBO,2020-06-01 
SRR6498,LIME,LIPE,2020-06-01 
SVF624,ESSA,ESPA,2020-06-01 
