Origin,Destination
EBBR,ZUCK
ZUCK,EBBR
EBBR,ZUCK
ZUCK,EBBR
ZUCK,EBBR
ZUCK,EBBR
EBBR,ZUCK
ZUCK,EBBR
ZUCK,EBBR
EBBR,ZUCK
ZUCK,EBBR
EBBR,ZUCK
ZUCK,EBBR
LSZH,KADW
YMML,EHAM
YMML,EHAM
YMML,EHAM
YMML,EHAM
YMML,EHAM
YMML,EHAM
YMML,EHAM
YMML,EHAM
YMML,EHAM
YMML,EHAM
YMML,EHAM
YMML,EHAM
ZGSZ,LIRF
ZGSZ,LIRF
ZGSZ,LIRF
ZGSZ,LIRF
ZGSZ,LIRF
ZGSZ,LIRF
ZGSZ,LIRF
ZGSZ,LIRF
ZGSZ,LIRF
ZGSZ,LIRF
ZGSZ,LIRF
ZGSZ,LIRF
ZGSZ,LIRF
LEBL,WMKK
LEBL,WMKK
LEBL,WMKK
LEBL,WMKK
LEBL,WMKK
LEBL,WMKK
LEBL,WMKK
LEBL,WMKK
LEBL,WMKK
LEBL,WMKK
LEBL,WMKK
RJBB,LFPG
RJBB,LFPG
RJBB,LFPG
RJBB,LFPG
RJBB,LFPG
RJBB,LFPG
RJBB,LFPG
RJBB,LFPG
RJBB,LFPG
RJBB,LFPG
RJBB,LFPG
RJBB,LFPG
RJBB,LFPG
RJBB,LFPG
RJBB,LFPG
RJBB,LFPG
RJBB,LFPG
RJBB,LFPG
RJBB,LFPG
RJBB,LFPG
RJBB,LFPG
RJBB,LFPG
RJBB,LFPG
RJBB,LFPG
RJBB,LFPG
RJBB,LFPG
RJBB,LFPG
RJBB,LFPG
RJBB,LFPG
RJBB,LFPG
RJTT,LGAV
RJTT,LGAV
RJTT,LGAV
RJTT,LGAV
RJTT,LGAV
RJTT,LGAV
LGAV,RJTT
RJTT,LGAV
SWJX,LPPT
SWJX,LPPT
LPPT,SWJX
LPPT,SWJX
SWJX,LPPT
SWJX,LPPT
SWJX,LPPT
SWJX,LPPT
