Origin,Destination
KHHR,EDDF
KHHR,EDDF
KHHR,EDDF
KHHR,EDDF
KHHR,EDDF
KHHR,EDDF
KHHR,EDDF
KHHR,EDDF
KHHR,EDDF
KHHR,EDDF
KHHR,EDDF
KHHR,EDDF
KHHR,EDDF
KHHR,EDDF
KHHR,EDDF
YMML,LFPG
YMML,LFPG
YMML,LFPG
YMML,LFPG
YMML,LFPG
YMML,LFPG
YMML,LFPG
YMML,LFPG
YMML,LFPG
YMML,LFPG
YMML,LFPG
YMML,LFPG
YMML,LFPG
RJTT,LGAV
RJTT,LGAV
RJTT,LGAV
RJTT,LGAV
RJTT,LGAV
RJTT,LGAV
RJTT,LGAV
RJTT,LGAV
MMMX,LEMD
MMMX,LEMD
LEMD,MMMX
MMMX,LEMD
MMMX,LEMD
MMMX,LEMD
MMMX,LEMD
MMMX,LEMD
MMMX,LEMD
MMMX,LEMD
MMMX,LEMD
MMMX,LEMD
MMMX,LEMD
MMMX,LEMD
MMMX,LEMD
MMMX,LEMD
MMMX,LEMD
MMMX,LEMD
MMMX,LEMD
MMMX,LEMD
MMMX,LEMD
MMMX,LEMD
MMMX,LEMD
MMMX,LEMD
RJTT,EKCH
RJTT,EKCH
RJTT,EKCH
RJTT,EKCH
RJTT,EKCH
RJTT,EKCH
RJTT,EKCH
RJTT,EKCH
RJTT,EKCH
RJTT,EKCH
RJTT,EKCH
RJTT,EKCH
RJTT,EKCH
USSK,LIRF
USSK,LIRF
USSK,LIRF
USSK,LIRF
USSK,LIRF
USSK,LIRF
USSK,LIRF
USSK,LIRF
SBGR,LEMD
LEMD,SBGR
SBGR,LEMD
LEMD,SBGR
SBGR,LEMD
SBGR,LEMD
LEMD,SBGR
LEMD,SBGR
LEMD,SBGR
SBGR,LEMD
SBGR,LEMD
SBGR,LEMD
SBGR,LEMD
LEMD,SBGR
LEMD,SBGR
LEMD,SBGR
YMML,LHBP
YMML,LHBP
YMML,LHBP
YMML,LHBP
YMML,LHBP
YMML,LHBP
YMML,LHBP
YMML,LHBP
YMML,LHBP
YMML,LHBP
YMML,LHBP
LEMD,RJAA
RJAA,LEMD
RJAA,LEMD
RJAA,LEMD
RJAA,LEMD
RJAA,LEMD
RJAA,LEMD
RJAA,LEMD
RJAA,LEMD
RJAA,LEMD
RJAA,LEMD
RJAA,LEMD
RJAA,LEMD
LEMD,RJAA
RJAA,LEMD
RJAA,LEMD
RJAA,LEMD
RJAA,LEMD
RJAA,LEMD
RJAA,LEMD
RJAA,LEMD
RJAA,LEMD
LIRF,RJAK
LIRF,RJAK
LSZH,LKPR
LSZH,LKPR
LSZH,LKPR
LSZH,LKPR
LSZH,LKPR
LSZH,LKPR
LSZH,LKPR
LSZH,LKPR
LSZH,LKPR
LPPT,SBRJ
SBRJ,LPPT
LPPT,SBRJ
LPPT,SBRJ
SBRJ,LPPT
LPPT,SBRJ
RJTT,LFPG
RJTT,LFPG
RJTT,LFPG
RJTT,LFPG
RJTT,LFPG
RJTT,LFPG
RJTT,LFPG
RJTT,LFPG
RJTT,LFPG
RJTT,LFPG
RJTT,LFPG
RJTT,LFPG
