Callsign, Origin, Destination
VKG2505,ESGG,ESSA
CSN463,EHAM,EDDF
AIC137,LOWW,LIMC
WZZ141,EGKK,LROP
AEE609,EGLL,LGAV
AFL2453,LFPG,UUEE
NJE379W,UUWW,EGGW
AFL2619,EBBR,UUEE
TAY081C,EBLG,LROP
AFL2529,LEMG,UUEE
AFL2585,EGLL,UUEE
EZY87XH,LPFR,EGKK
WZZ1NT,EGCN,LROP
AFL2377,LFLL,UUEE
AFL2423,LIPZ,UUEE
BAW237,EGLL,UUDD
EZY52LX,LEMG,EGKK
EZY25VM,LEMG,EGGW
EZY64LR,LEMG,EGSS
EZY42FK,LEAL,EGKK
AFL2497,EKCH,UUEE
TAP1200,LPPT,UUDD
AFL2513,LEBL,UUEE
AFL2193,EHAM,UUEE
AUI114,EGKK,UKBB
AFL2591,EIDW,UUEE
AFL2609,LEMD,UUEE
DCAWR,EDDV,LDSP
EZY56CX,LEAL,EGCC
SVR9846,UWUU,UUDD
BAW4GP,LEMG,EGKK
AFL2317,EDDB,UUEE
AFL2355,LOWW,UUEE
RWZ463,UUDD,UWUU
BAW2723,LEMG,EGKK
AFL2039,LROP,UUEE
AFL2415,LIMC,UUEE
CLU742,EBLG,UUEE
NPT4069,EBLG,EFTU
SRR6566,EDDK,EGNX
UTA497,UUWW,URRP
AFL2017,LKPR,UUEE
AFL1234,UUEE,UWUU
AFL1164,UUEE,URRP
AEE3LP,LPPT,LGAV
EZY96MK,LEAL,EGGW
EZY29HL,LEMG,EGGD
AFL2181,ESGG,UUEE
BCS5102,EDDP,EPGD
QY178,EDDP,EKCH
SRR6978,EDDK,EGNX
FIN7XR,LEMG,EFHK
SDM6194,URRP,UUEE
FPO802F,EGBB,LFPG
SRR6498,EDDK,LIME
SRR6374,EDDK,LFLL
AFL2199,EVRA,UUEE
AEE3EM,LEMD,LGAV
AEE713,LEBL,LGAV
SWT7272,EDDK,LMML
WZZ2598,BIKF,EVRA
FPO773,LFML,LFKJ
FPO1364,LEMD,EGNX
WZZ1540,BIKF,EPWA
FIN24Q,LEAL,EFHK
ABF2B,EFOU,EFHK
AEE883,UUDD,LGAV
AFL1239,UWUU,UUEE
DCAWR,LDSP,EDDH
BCS3612,EDDP,EFHK
AAF516,UUDD,LFPO
AFL037,ULLI,UUEE
SBI096,UWUU,UUDD
AAF506,UUDD,LFML
KAL593,UUEE,EDDF
AUI4BQ,LEMD,UKBB
SRR6316,LFPG,LFRN
RWZ464,UWUU,UUDD
BCS52W,EDDP,LFRS
BTI407,UKBB,EVRA
BCS3264,EKCH,ESGG
BTI427,UUEE,EVRA
SRR6382,LFML,LFBD
CGF1118,EDDK,EDDB
FIN720,UUEE,EFHK
SRR6118,EDDK,EDDM
DLH2567,ULLI,EDDM
BCS2406,EGNX,EGAA
SRR6978,EGNX,EGAA
BTI447,ULLI,EVRA
AUI316,LIME,UKBB
BTI35T,EFTP,EVRA
AFL035,ULLI,UUEE
AZA593,UKKK,LIRF
BOX621,EDDP,EDDF
TAY014N,EBLG,LFBO
SBI1160,URRP,UUDD
BCS16G,EGNX,EGPH
BCS5706,LIME,LROP
TAY037B,EBLG,LEMD
VLG901P,LEBL,LFPO
BCS4982,EDDP,LSGG
TUI1VJ,EDDF,LEJR
AFL1165,URRP,UUEE
SBI038,ULLI,UUDD
TAY034S,EBLG,LEBL
BAW236,UUDD,EGLL
DCAWR,EDDH,EDDV
LOT644,LROP,EPWA
TAY071M,EBLG,LIRA
KLM1392,ULLI,EHAM
TAY365B,EBLG,LGAV
BTI36V,EETN,EVRA
AFL033,ULLI,UUEE
FIN6EM,EFHK,EFOU
BCS1926,LFML,LFBO
AUI174,ESSA,UKBB
UTA364,UWUU,UUWW
DLH1EJ,EFHK,EDDM
AFR1653,UKBB,LFPG
BCS9614,LIME,LDZA
VKG798,EFHK,EKCH
IBK514,EFHK,LEMG
DLH1451,UUDD,EDDF
AFL1235,UWUU,UUEE
AFR1665,ULLI,LFPG
DLH2547,UKBB,EDDM
AFR82PQ,LROP,LFPG
DLH885,EETN,EDDF
AFR1845,UUEE,LFPG
WZZ6113,UKKK,EDDB
