Callsign, Origin, Destination
CSN465,KLAX,EGSS
CSN461,KLAX,EDDF
CSN307,RJTT,EHAM
ACP8310,FAOR,EBLG
CES569,KLAX,LFPG
NMB285,FAOR,EDDF
CSN303,NZAA,EGLL
ETH3712,VABB,EBLG
QFA9,YPPH,EGLL
MAU34,FAOR,LFPG
QFA10,EGLL,YPPH
TAM8111,LIRF,SBGR
IBE2621,LEBL,KSFO
ICV6752,ELLX,VHSK
THA921,EDDF,VTBS
AMX002,LEMD,MMMX
THA951,EKCH,VTBS
DAL79,EHAM,KLAX
NAX7UA,LFPG,KLAX
AZA8680,LIRF,SAEZ
BAW279,EGLL,KSJC
AFR293,RJTT,LFPG
BAW17,EGLL,RKSI
DLH458,EDDM,KSFO
FIN1,EFHK,KHHR
DLH714,EDDM,RJTT
FIN141,EFHK,VTBS
BAW9CG,EGLL,KPHX
AEA043,LEMD,SAEZ
BAW44N,EGLL,KSAN
EVA061,RCTP,LOWW
KAC103,RPLL,EGLL
AEA046,SUMU,LEMD
KLM887,EHAM,VHSK
AFR380V,SAEZ,LFPG
KAL9542,ENGM,RKSI
BAW34,WMKK,EGLL
ANA203,RJTT,EDDF
LOT3,EPWA,KORD
CAL061,RCTP,EDDF
BAW269,EGLL,KHHR
BAW9,EGLL,VTBS
KQA112,FAOR,LFPG
KAL920,LDZA,RKSI
DAL165,EHAM,KMSP
ABW201,UUEE,KORD
NRS7171,EGKK,KFTG
DLH432,EDDF,KORD
EWG1107,VTBS,EDDL
VCJ77A,UUWW,RJBB
LOT26,EPWA,KJFK
KLM166,EHAM,KATL
ANZ1,EGLL,KHHR
MAS2,WMKK,EGLL
KLM810,WMKK,EHAM
LOT45,EPWA,CYYZ
IBE6845,LEMD,SAEZ
AFL270,UUEE,VTBS
RBA003,WBSB,EGLL
KLM856,RKSI,EHAM
NAX19M,LIRF,KLDJ
BAW275,EGLL,KLAS
N311CG,RJTK,LEBL
DLH712,EDDF,RKSI
KLM808,RCTP,EHAM
KLM875,EHAM,VTBS
LOT15,EPWA,KLDJ
DLH716,EDDF,RJTT
CPA238,EGLL,VHSK
AIC124,EDDF,VABB
EVA087,RCTP,LFPG
ETH3728,EBBR,VHSK
IBE6012,SUMU,LEMD
NAX1WA,LEBL,KHHR
NAX7YR,LFPG,KHWO
ANA205,RJTT,LOWW
KAC171,VTBS,EDDF
CAL075,RCTP,LIRF
AFL212,UUEE,VHSK
KAY51,EDDH,KSJC
DLH773,VTBS,EDDF
CAL073,RCTP,EHAM
NAX7069,EKCH,KOAK
THA920,VTBS,EDDF
NAX95L,LEBL,KLDJ
BAW243,EGLL,MMMX
EVA062,LOWW,VTBS
BAW5VY,EGLL,CYVR
KAL8596,EDDF,RKSI
AFR995,FAOR,LFPG
FIN144,VTBS,EFHK
ICE21M,BIKF,KFTG
VJT947,LSGG,CYUL
ICE665,BIKF,KPDX
AAR588,EBBR,RKSI
RBA004,EGLL,WBSB
ICE863,BIKF,KSFO
JAL41,RJTT,EGLL
DLH573,FAOR,EDDF
AEA058,SBGR,LEMD
ACA859,EGLL,CYYZ
ICE681,BIKF,KSEA
BAW51,EGLL,FAOR
ICE689,BIKF,KORL
ARG1141,LIRF,SAEZ
MSR799,VTBS,LFPG
BAW179,EGLL,KJFK
CPA250,EGLL,VHSK
AFR076,LFPG,KHHR
AFL272,UUEE,VTBS
THA930,VTBS,LFPG
KAL918,LSZH,RKSI
BAW56,FAOR,EGLL
AZA675,SBGR,LIRF
KAL541,RKSI,LOWW
KAL906,EDDF,RKSI
THA944,VTBS,LIRF
BAW1YC,EGLL,CYYC
LVCAZ,SAEZ,EBLG
AFR008,LFPG,KJFK
AZA6FA,SBGL,LIRF
XLF020,LFPG,KJFK
AFR348,LFPG,CYUL
IBE6400,MMMX,LEMD
BAW31,EGLL,VHSK
AFL122,UUEE,KJFK
ICE45K,BIKF,CYVR
DUB9,RJTK,EGSS
IBE6824,SBGR,LEMD
AFR6738,LFPG,KORD
AAR796,EDDF,RKSI
BAW55K,EGLL,FAOR
THA924,VTBS,EDDM
ARG1133,LEMD,SAEZ
KAL914,LEMD,RKSI
THA950,VTBS,EKCH
AFR457,SBGR,LFPG
THA960,VTBS,ESSA
AZA849,FAOR,LIRF
TAP082,SBGR,LPPT
AFL101,KJFK,UUEE
BAW246,SBGR,EGLL
JAL46,LFPG,RJAA
KLM809,EHAM,WMKK
NAX3RV,LEMD,KJFK
TVQ6629,OMRK,LZIB
SBI778,UUDD,UIII
DAL118,KLAX,LFPG
AFR443,SBGL,LFPG
ETD39E,EDDL,OMAA
AIC138,LIMC,VIDP
THA923,EDDF,VTBS
BAW123,EGLL,OTHH
TAP074,SBRJ,LPPT
KAL908,EGLL,RKSI
TAY011,KJFK,EBLG
TAM8110,SBGR,LIRF
BAW183,EGLL,KJFK
AIC120,EDDF,VIDP
BAW54,FAOR,EGLL
NAX11A,EKCH,KJFK
N999LR,LIMJ,KLDJ
AIC158,EKCH,VIDP
KAL926,EHAM,RKSI
DLH417,KIAD,EDDF
AAR512,LEBL,RKSI
BAW257,EGLL,VIDP
TAM8178,SBGR,LPPT
CPA282,EDDF,VHHH
CPA256,EGLL,VHSK
KAL902,LFPG,RKSI
DLH767,VABB,EDDM
KAL932,LIRF,RKSI
KLM701,EHAM,SAEZ
DAL82,KATL,LFPG
BAW11,EGLL,WSAC
AFR191,VOBL,LFPG
KTK8888,OMDW,UUWW
TAM8071,EDDF,SBGR
TUA531,UUDD,VIDP
TAP1543,LPPT,GVNP
DAL34,KSEA,LFPG
KLM656,KMSP,EHAM
DLH772,EDDF,VTBS
TAM8101,LFPG,SBGR
ETD69K,EGLL,OMAA
CAL070,EGKK,RCTP
KZR876,UUEE,UAAA
DLH510,EDDF,SAEZ
KAY52,UUWW,RKSS
SBI774,UUDD,UIII
DLH796,EDDF,VHSK
ETD57C,LFPG,OMAA
AZA848,LIRF,FAOR
DLH572,EDDF,FAOR
AIC142,LFPG,VIDP
DLH649,UAAA,EDDF
SIA319,EGLL,WIDD
DLH506,EDDF,SBGR
ETD11Y,LIRF,OMAA
DLH759,VOMM,EDDF
KAL930,ULLI,RKSI
DAL178,KPDX,EHAM
DLH445,KATL,EDDF
AZA60M,KJFK,LIRF
BAW138,VABB,EGLL
TAM8114,SBGR,LEBL
EVA076,EHAM,VTBS
SVR2463,UUBW,UAAA
BAW57K,EGLL,FAOR
AIC136,LEMD,VIDP
BAW199,EGLL,VABB
TAP058,SBBR,LPPT
AUI232,KJFK,UKBB
AZA674,LIRF,SBGR
BAW33,EGLL,WMKK
BAW4EA,KBFI,EGLL
AZG9781,EGPK,VIDP
AIC112,EGLL,VIDP
DAL46,KJFK,EHAM
DLH401,KJFK,EDDF
BTI746,EVRA,UAAA
MPH7121,EHAM,SBKP
AFR655,OMDB,LFPG
AFR023,KJFK,LFPG
DLH730,EDDM,VHSK
DLH520,EDDM,MMMX
KLM428,OMDB,EHAM
DAL142,KSEA,EHAM
BAW27,EGLL,VHSK
MAS1,EGLL,WMKK
EVA068,EGLL,VTBS
THA917,EGLL,VTBS
TAP1481,LPPT,GOBD
ACA872,CYYZ,EDDF
FIN99,EFHK,VHSK
DLH631,OMDB,EDDF
GFA006,EGLL,OBBI
DLH439,KDFW,EDDF
KLM678,CYYC,EHAM
TAM8085,EGLL,SBGR
DAL42,KMSP,LFPG
AZU8750,SBKP,LPPT
DLH437,KORD,EDDM
DLH491,KSEA,EDDF
ROU1900,CYYZ,LGAV
AMX004,LFPG,MMMX
KLM602,KLAX,EHAM
KAC167,VOMM,LFPG
SIA321,EGLL,WSAG
FDB1784,EFHK,OMDB
BAW106,OMDB,EGLL
KLM592,FAOR,EHAM
KLM751,SEQM,EHAM
KLM282,KSFO,EHAM
OMA253,UUDD,VOMM
IBE6250,KJFK,LEMD
AFR990,LFPG,FAOR
BEL206,GOBD,EBBR
DLH507,SBGR,EDDF
KLM446,OBBI,EHAM
DLH757,VABB,EDDF
NRS7505,EGKK,SAEZ
KLM86,CYYZ,EHAM
AFR274,LFPG,RJTK
IBE3329,GOBD,LEMD
SJT921,KJFK,LSZH
BAW247,EGLL,SBGR
KLM48,KORD,EHAM
AZA680,LIRF,SAEZ
TAM8065,LEMD,SBGR
BAW245,EGLL,SAEZ
AZA603,KJFK,LIRF
AFR454,LFPG,SBGR
AMX008,EGLL,MMMX
FIN67,EFHK,RJBB
CFG063,KLAS,EDDF
BAW63H,KMCO,EGKK
DLH411,KJFK,EDDM
ACA846,CYYZ,EDDM
FDB7WQ,UKBB,OMDB
DAL230,KRDU,LFPG
DLH431,KORD,EDDF
KLM642,KJFK,EHAM
FDB918,UUWW,OMDB
DLH427,KPHL,EDDF
DAL500,KIND,LFPG
DAL30,KATL,EGLL
DAL262,KJFK,LFPG
AFL1441,UIII,UUEE
DAL14,KATL,EDDF
GSTMT,KDEN,LSGG
PAL721,EGLL,RPLL
IBE6841,LEMD,SAEZ
DAL160,KMSP,EHAM
AFR459,SBGR,LFPG
AFR188,LFPG,VHSK
DAL116,KATL,EDDS
BEL55J,CYYZ,EBBR
AEA057,LEMD,SBGR
SWG9914,CYYZ,EIDW
AFL1562,UUEE,UIII
AFL525,OMDB,UUEE
BAW124,OBBI,EGLL
KLM792,SBGR,EHAM
ACA878,CYYZ,LSZH
IBE6051,LEMD,FAOR
KLM29E,KIAD,EHAM
CPA254,EGLL,VHSK
BEL516,KIAD,EBBR
LOT32,KORD,LHBP
AFR228,LFPG,SAEZ
AFR065,KLAX,LFPG
BAW20R,KORD,EGLL
DLH481,KDEN,EDDM
AEA025,LEMD,SLCY
TAP1476,GGOV,LPPT
N450FK,SBKP,LPCS
AEA041,LEMD,SAEZ
DLH455,KSFO,EDDF
DAL194,KATL,LEBL
DLH457,KLAX,EDDF
EJM963,KMSP,LGRP
IBE6827,LEMD,SBGR
BAW2,KJFK,EGLC
TAP202,KEWR,LPPT
AFR351,CYYZ,LFPG
AFR083,KSFO,LFPG
AFR055,KIAD,LFPG
DLH755,VOBL,EDDF
GFA012,OBBI,UUDD
DAL90,KATL,EDDL
DAL72,KATL,EHAM
BAW5CA,CYYZ,EGLL
ICE24T,KDEN,BIKF
DLH419,KIAD,EDDF
DLH403,KEWR,EDDF
KLM646,KJFK,EHAM
BAW282,KLAX,EGLL
DAL10,KMSP,EGLL
BAW262,OERK,EGLL
KAL529,RKSI,UUEE
IBE6274,KORD,LEMD
SVR3091,UUDD,OMDW
BAW40F,KJFK,EGLL
ACA898,CYYZ,LOWW
XRC3040,LEMD,DAAG
DLH471,CYYZ,EDDF
BAW6W,KIAD,EGLL
TCX2925,KLAS,EGCC
TAP087,LPPT,SBGR
ICE680,KSEA,BIKF
GFA019,OBBI,LFPG
GFA017,OBBI,EDDF
BAW9E,KEWR,EGLL
BAW11J,KJFK,EGLL
ACA856,CYYZ,EGLL
AFR719,GOBD,LFPG
ETD984,KLCK,EGNX
BAW2232,TXKF,EGKK
AFR007,KJFK,LFPG
DLH637,OERK,EDDF
NAX7078,KOAK,LIRF
ACA892,CYUL,LIRF
DAL9930,KRDU,LFPG
GFA007,OBBI,EGLL
N551TG,KFRG,ELLX
ACA864,CYUL,EGLL
ACA874,CYUL,EDDF
AMX005,MMMX,LFPG
BAW2276,KLAS,EGKK
IBE2601,LEBL,SAEZ
LOT22,KLAX,EPWA
AFR355,KSEA,LFPG
BAW45B,KBOS,EGLL
BAW71F,KSFO,EGLL
PRWQY,SBGR,EDDB
WJA22,CYVR,EGKK
AFR347,CYUL,LFPG
ACA880,CYYZ,LFPG
AFL103,KJFK,UUEE
SVR106,UIII,UUDD
AFL107,KLAX,UUEE
AFL1451,UNEE,UUEE
DAL140,KJFK,EBBR
AFL1947,UAAA,UUEE
AFL1871,UTTT,UUEE
DLH493,CYVR,EDDF
DAL1,KJFK,EGLL
MEA241,OMDB,LEMD
FIN10,KORD,EFHK
SDM5733,UUWW,OMSJ
ACA844,CYYC,EDDF
DAL106,KJFK,EDDF
DAL126,KJFK,LEMD
TFL478,GBYD,EHAM
ABW9358,UUEE,RKSI
BAW8,RJTT,EGLL
AAF634,OLBA,LFML
KZR871,UAAA,UUEE
AFR019,KJFK,LFPO
DAL48,KJFK,EHAM
KLM604,KLAX,EHAM
BAW36,VOMM,EGLL
EDW9C,KMCO,LSZH
AFR267,RKSI,LFPG
AEA039,LEMD,SEHI
BAW176A,KJFK,EGLL
AMX001,MMMX,LEMD
RSY4130,UUWW,ULLP
BAW280,KLAX,EGLL
DAL444,KJFK,LIRF
BAW66V,KPHL,EGLL
DLH495,CYYZ,EDDM
PBD446,UNEE,UUWW
N858CV,KPHL,LFOH
BAW116,KJFK,EGLL
OAE701,LRBS,KIAD
NAX08N,KOAK,LFPG
DLH743,RJBB,EDDM
ICE614,KJFK,BIKF
DLH425,KBOS,EDDM
ACA850,CYYC,EGLL
GLP172,UNEE,UUDD
ROU1914,CYYZ,LEBL
ICE2B,KIAD,BIKF
HVN31,YSSY,EDDF
AAR795,RKSI,UUDD
AFR153,KORD,LFPG
DAL408,KJFK,LSZH
ACA848,CYYZ,EGLL
ICE656,KMSP,BIKF
WJA3,CYYZ,EGKK
KLM214,CYVR,EHAM
TAP088,SBGR,LPPT
DAL476,KJFK,LEBL
ANZ2,KLAX,EGLL
DAL162,KMSP,EHAM
IBE6170,KLAX,LEMD
ICE38C,CYYZ,BIKF
IBK1762,KSWF,EIDW
ICE622,KEWR,BIKF
ACA882,CYYZ,EKCH
ACA834,CYUL,LSGG
ACA824,CYYZ,EHAM
DLH453,KLAX,EDDM
AIC131,VAJJ,EGLL
ICE10K,KORD,BIKF
AFR673,KMSP,LFPG
DLH413,KEWR,EDDM
ACA870,CYUL,LFPG
CES219,YBBN,EDDF
TAP1542,GVNP,LPPT
FDB1796,LROP,OMDB
SIA25,KJFK,EDDF
FIN42,RKSI,EFHK
IBE6252,KJFK,LEMD
FIN76,RJFF,EFHK
CFG033,KSEA,EDDF
BAW22C,KBWI,EGLL
BAW248,SBGL,EGLL
BAW172,KJFK,EGLL
ACA836,CYYZ,LEMD
DAL144,KSEA,EHAM
KLM706,SBGL,EHAM
EDW99,SBGL,LSZH
SVR2464,UAAA,UUBW
LOT9787,KPAE,EPWA
DAL208,KJFK,EGPH
THY80L,KSFO,LTBU
SBI777,UIII,UUDD
BAW118,VOBL,EGLL
WJA1,CYYC,EGKK
DLH719,RKSI,EDDM
NRS7148,KBOS,EGKK
DLH501,SBGL,EDDF
BAW94,CYUL,EGLL
BAW14K,KJFK,EGLL
RZO220,KBOS,LPPT
IBE6402,MMMX,LEMD
BAW188,KEWR,EGLL
KLM868,RJBB,EHAM
ACA854,CYVR,EGLL
AFR069,KLAX,LFPG
BAW51B,KBOS,EGLL
AFR291,RJBB,LFPG
AFL1443,UIII,UUEE
GIA088,RKSI,EHAM
JAL45,RJTT,LFPG
ACA862,CYYZ,EGLL
N300JA,KFRG,EDDB
DAL410,KMCO,EHAM
THY10,KLAX,LTBU
N550DR,KBOS,LSGG
FIN78,RJBB,EFHK
TSC110,CYUL,LFPG
DUB2,RKSM,EGSS
BOV776,SLVR,LEMD
DAL154,KBOS,EIDW
AZA61CM,KJFK,LIRF
NAX7088,KLAX,ESSA
PRNOC,SBGL,LPCS
DLH475,CYUL,EDDM
AZA66Y,KBOS,LIRF
DLH499,MMMX,EDDF
TAM8064,SBGR,LEMD
OMA131,VTBS,LFPG
TSC232,CYYZ,LPFR
AZG261,RKSI,ELLX
BAW10C,KJFK,EGKK
MAS4,WMKK,EGLL
TAP1480,GOBD,LPPT
BAW3C,KIAD,EGLL
FIN142,VTBS,EFHK
AFR011,KJFK,LFPG
ACA876,CYYZ,EDDF
DLH465,KMCO,EDDF
RJA109,OMDB,LEMD
EWG7WM,KJFK,EDDL
ANA223,RJTT,EDDF
DAL44,KJFK,EIDW
BAW48Q,KSEA,EGLL
NRS18U,KJFK,EGKK
JAL43,RJTT,EGLL
AFR349,CYUL,LFPG
BAW24R,KORD,EGLL
KLM644,KJFK,EHAM
DAL164,KMSP,EHAM
OMA153,WMKK,LSZH
ABW339,UUDD,VHHH
NRS6YA,KLAX,EGKK
KAL509,RKSI,EHAM
SQP314,UAAA,UKBB
SBI773,UIII,UUDD
ANA211,RJTT,EGLL
BAW18,RKSI,EGLL
DLH405,KJFK,EDDF
DLH4C,KORD,EDDM
BAW98,CYYZ,EGLL
TAM8108,SBGR,LFPG
BTI747,UAAA,EVRA
ANA215,RJTT,LFPG
TAM8070,SBGR,EDDF
TAP208,KJFK,LPPT
KLM168,KATL,EHAM
KLM696,CYYZ,EHAM
BAW6B,KSFO,EGLL
SAS984,RJAK,EKCH
IBE2622,KSFO,LEBL
TAM8084,SBGR,EGLL
BAW18A,KJFK,EGLL
LOT46,CYYZ,EPWA
AFL002,UUEE,ULLP
LOT16,KEWR,EPWA
AAR541,RKSI,EDDF
AFL271,VTBS,UUEE
BAW89P,KSJC,EGLL
ACA842,CYYZ,EIDW
BAW38P,KPHX,EGLL
DAL3,KJFK,EGLL
AZA803,DAAG,LIRF
BAW80G,KBOS,EGLL
ACA888,CYOW,EGLL
KQA100,OMDB,EGLL
NAX4PF,KEWR,LIRF
ACA858,CYYZ,EGLL
LOT27,KJFK,EPWA
LOT4,KORD,EPWA
NAX98W,KLAX,LFPG
BAW122,OTHH,EGLL
UTA498,URRH,UUWW
BAW72A,KSAN,EGLL
KAL9575,VIDP,LOWW
THA974,VTBS,UUDD
FIN2,KLAX,EFHK
AAR501,RKSI,LFPG
VLG43EG,LEMG,DAAG
AAR561,RKSI,LIRF
THY82M,KBOS,LTBU
MEDVC4C,OERY,EDDL
NAX76C,KEWR,LEBL
RWZ702,ULLI,ULLP
RJA52P,OERK,EDDM
AFL006,UUEE,ULLP
NAX7022,KJFK,LFPG
AFR009,KJFK,LFPG
ABW342,KLAX,EDDF
ANA217,RJTT,EDDM
VLG7476,LEBL,DAAG
SDM6022,UUWW,ULLP
BAW8C,CYVR,EGLL
CLU208,KLCK,EDDF
DLH433,KORD,EDDF
DLH715,RJTT,EDDM
HVN37,YSSY,EDDF
DLH459,KSFO,EDDM
BCS541,LIME,OBBI
KAL937,RKSI,LOWW
NRS7172,KDEN,EGKK
NWS177,UUEE,ULLP
KAL915,RKSI,LEBL
YUPZM,LYBE,ULLP
XLF021,KJFK,LFPG
SBI047,UUDD,ULLP
WZZ2465,LHBP,ULLP
AFL251,RKSI,UUEE
BAW274,KLAS,EGLL
RA07352,VNKT,UUBW
BAW102,CYYC,EGLL
VLG7396,LEAL,DAAG
KAL905,RKSI,EDDF
N64NY,KLAX,EGGW
AFR1355,DAAG,LFPG
GFA013,UUDD,OBBI
ALK503,VOMM,EGLL
AMX007,MMMX,EGLL
VLG175K,LEBL,GMTT
TVF41GT,LFPO,GMTT
KAL907,RKSI,EGLL
AFL1940,UUEE,UAAA
BAW268,KLAX,EGLL
NAX7JA,KJFK,EHAM
AFL1563,UIII,UUEE
BAW16,YSSY,EGLL
ICE8188,KMIA,BIKF
KAL901,RKSI,LFPG
THY12,KJFK,LTBU
FIN701,EFHK,ULLP
KAL923,RKSI,UUEE
VJT448,EGGW,ULLP
SVR3092,OMDW,UUDD
ETH500,EIDW,KIAD
ABY955,OMSJ,UUDD
NAX7070,KOAK,EKCH
AHO757K,UAAA,LOWW
AFL523,OMDW,UUEE
MEA211,OLBA,LFPG
NAX4RW,KJFK,LEMD
SVR16,UIII,UUDD
AMX025,MMMX,EHAM
ETH510,EIDW,KORD
BAW92W,KDFW,EGLL
AMX021,MMMX,LEMD
AFR1554,LFPG,DAAG
DLH717,RJTT,EDDF
AFL273,VTBS,UUEE
ABW355,UUEE,RCTP
KLM876,VTBS,EHAM
NAX12M,KJFK,EKCH
SVR9723,UUBW,UUBC
KAL931,RKSI,LIRF
AFL520,UUEE,OMDW
AFR6739,KORD,EGPK
MEA231,OLBA,LIRF
AFL010,UUEE,ULLP
YUPNK,LOWW,ULLP
FDB15Z,OMDB,UKBB
SBI015,UUDD,ULLP
DCS303,OMDW,LIML
YUPMK,LOWW,ULLP
AIC125,VABB,EDDF
DLH713,RKSI,EDDF
BAW242,MMMX,EGLL
THA922,VTBS,EDDF
AAR521,RKSI,EGLL
SDM6012,UUWW,ULLP
BAW10,VTBS,EGLL
THA916,VTBS,EGLL
ARG1136,SAEZ,LEMD
QFA1,YSSY,EGLL
RYR182V,EDLV,GMTT
DAH1009,LFPO,DAAG
SDM5734,OMSJ,UUWW
PBD205,UUWW,ULLP
AFL123,KJFK,UUEE
IBE6846,SAEZ,LEMD
KZR872,UUEE,UAAA
EVA067,VTBS,EGLL
BAW50,FAOR,EGLL
AZA8681,SAEZ,LIRF
AFL100,UUEE,KJFK
VLG7477,DAAG,LEBL
LAN704,NZAA,LEMD
AEA044,SAEZ,LEMD
SAME88,LGIR,OMDB
ARG1142,SAEZ,LIRF
WWI70,LKPR,KTEB
DAH1002,DAAG,LFPG
DAL71,EHAM,KATL
SAME89,LGIR,OMDB
ETH3713,EBBR,OMDB
AFL012,UUEE,ULLP
BAW256,VIDP,EGLL
N312ZW,EGGW,VHHH
VLG7397,DAAG,LEAL
N105ST,EIKY,KHPN
DUB3,OMDB,LSGG
CSN307,RJTT,EHAM
KZR921,UAAA,EDDF
SDM6016,UUWW,ULLP
AIC101,LOWW,KJFK
SIA26,EDDF,KJFK
P4MES,UUWW,RKSI
NAX70Y,KLAX,EKCH
SDM5788,LGRP,ULLP
BOX492,EDDF,KORD
SBI045,UUDD,ULLP
SVR79,UUDD,ULLP
SDM5872,VTBS,UUWW
RAM770C,GOBD,LFPO
TVQ6654,LEMG,GBYD
AIC167,VIDP,ESSA
AIC121,VIDP,EDDF
FDB4UR,OMDB,UUWW
AFR566,LFPG,OLBA
ABW302,KORD,EDDF
DLH1432,EDDF,ULLP
