Callsign, Origin, Destination
PBD205,UUWW,ULLI
ABR9DN,LFPG,EDDB
BCS4108,EDDP,EDDM
BCS5102,EDDP,EPGD
TAY353X,EBLG,LFBO
DLH1439,ULLI,EDDF
AZA595,UUEE,LIRF
TAY083G,EBLG,EPWA
ABR1WA,LFPG,EPWA
BCS4982,EDDP,LSGG
TAY012G,EBLG,EGNX
BCS5706,EDDP,LROP
BCS7930,EDDP,LIMC
BTI36V,EETN,EVRA
TAY274X,EBLG,EDDE
BCS3844,EDDP,EKBI
SWT1JB,LFPG,LFBO
BCS5916,EDDP,EPKT
TAY642H,EBLG,EDDB
TAY365B,EBLG,LGAV
DHK5132,EDDP,LHBP
TAY857,EBLG,LFLL
BCS7836,EDDP,LGAV
BCS7078,EDDP,LIRA
NPT4079,EBLG,LROP
FIN2AP,EFVA,EFHK
DLH1HP,LROP,EDDM
SDM6015,ULLI,UUWW
AZA7JE,LGAV,LIRF
KLM60C,LGAV,EHAM
DLH1KV,LBSF,EDDM
WZZ192,LBWN,EDJA
AAF944F,EDDK,LFPO
UTA490,ULLI,UUWW
BCS4214,EDDP,EDDS
AFL2500,UUEE,LEMD
WZZ926,EYVI,EGGW
WZZ121,LROP,LIRA
WZZ591,LBSF,EGGW
SAS4221,EFVA,ESSA
AFL033,ULLI,UUEE
WZZ4JV,LROP,LFOB
DCAPB,EDDH,EDDV
DLH2FL,LGAV,EDDM
CGF5572,EDDP,LKMT
FIN6EM,EFHK,EFOU
TAY414N,EBLG,LFRN
AFR26QH,LROP,LFPG
RYR7621,EYKA,EKCH
DLH1CF,EFHK,EDDM
WZZ1136,EYVI,ESKN
KLM58R,LROP,EHAM
AFR33DX,LGAV,LFPG
SAS1791,EETN,EKCH
TAY025N,EBLG,EGPH
BCS908,EDDP,LBSF
TUI252,EDDV,EDDH
VKG4607,ENGM,ENVA
SDM5425,UUWW,UUEE
NVR143,ESSA,EKCH
WZZ1451,LROP,LIME
BCS3848,EKCH,EFHK
SAS743,EYVI,EKCH
BCS2130,EGGW,EGNX
SRR6316,LFPG,LFRN
WZZ6ZW,LROP,EBCI
DLH889,EYVI,EDDF
AFR1845,UUEE,LFPG
OAL201,LGRP,LGAV
WZZ931,LROP,EHEH
RYR8UJ,LGAV,EGSS
WZZ1221,EVRA,EGGW
RYR2GA,EYKA,EGSS
DLH3RJ,EDDG,EDDM
BMS35K,LRBS,LROP
DLH3FL,LROP,EDDF
LPA301,EFMA,ESSA
AFL2416,UUEE,LIMC
DLH4PF,EDDV,EDDM
BMS6KV,LROP,LIRF
RYR4XP,LBSF,LIRA
AFL1372,UUEE,UUOB
NPT4132,EDDV,EKBI
WZZ5YL,LROP,ESKN
BCS2134,EGNX,EGPH
LOT8ZM,EPRZ,EPWA
LOT3910,EPKK,EPWA
RYR2M,LBSF,LGAV
TAP1251,LHBP,LPPT
ETH702,LIRF,LIMC
RYR6025,LROP,LGAV
LDM3FJ,LOWW,LEMG
DLH885,EETN,EDDF
SRR6978,EGNX,EGAC
AZA059,LEMD,LIRF
IBK101,EFOU,EFHK
