Callsign, Origin, Destination,Day
HVN51,YSSY,EGLL,2019-06-01 
SIA322,YSSY,EGLL,2019-06-01 
ABD335,FAOR,EBLG,2019-06-01 
VQBZE,TXKF,LEMD,2019-06-01 
AVA016,KLAX,LEMD,2019-06-01 
BAW16,YSSY,EGLL,2019-06-01 
ETD51D,YSSY,EDDM,2019-06-01 
QFA1,YSSY,EGLL,2019-06-01 
CCA931,KJFK,EDDF,2019-06-01 
GTI8884,EDFH,WSSS,2019-06-01 
CSN307,RJTT,EHAM,2019-06-01 
SIA346,VHHH,LSZH,2019-06-01 
SIA362,RJTT,UUDD,2019-06-01 
CCA933,KLAX,LFPG,2019-06-01 
NMB285,FAOR,EDDF,2019-06-01 
ABW597,UUEE,PANC,2019-06-01 
CSN345,ZGSZ,EHAM,2019-06-01 
CCA423,YSSY,EGLL,2019-06-01 
CES263,YSSY,LEMD,2019-06-01 
QFA9,YPPH,EGLL,2019-06-01 
MPH8342,FAOR,EHAM,2019-06-01 
QFA10,EGLL,YPPH,2019-06-01 
MAU34,FAOR,LFPG,2019-06-01 
SIA355,LIMC,WSAC,2019-06-01 
ETD59V,YSSY,EGLL,2019-06-01 
ETH706,FAOR,EDDF,2019-06-01 
CCA863,VHHH,LGAV,2019-06-01 
CAL062,EDDF,RCTP,2019-06-01 
NAX1WA,LEBL,KLAX,2019-06-01 
CPA271,RPLL,EHAM,2019-06-01 
PRJAQ,LIML,SBGR,2019-06-01 
DAL119,LFPG,KHHR,2019-06-01 
BAW19,EGLL,RJBB,2019-06-01 
FIN11,EFHK,KSFO,2019-06-01 
NRS5PY,EGKK,KLAX,2019-06-01 
AMX002,LEMD,MMMX,2019-06-01 
AFR082,LFPG,KSFO,2019-06-01 
DLH458,EDDM,KSFO,2019-06-01 
AFR293,RJTT,LFPG,2019-06-01 
VJT974,LSGG,SBGR,2019-06-01 
JAL773,UUDD,YMML,2019-06-01 
NAX7067,ESSA,KOAK,2019-06-01 
FIN141,EFHK,VTBS,2019-06-01 
VQBCC,VHHH,EFHK,2019-06-01 
AAR532,LIPZ,RKSI,2019-06-01 
BAW279,EGLL,KSJC,2019-06-01 
ETH3519,LEZG,MMMX,2019-06-01 
AFR185,VHHH,LFPG,2019-06-01 
LOT97,EPWA,RKSI,2019-06-01 
RBA003,WBSB,EGLL,2019-06-01 
LOT23,EPWA,KHHR,2019-06-01 
DLH731,VHHH,EDDM,2019-06-01 
KLM887,EHAM,VHHH,2019-06-01 
BAW9CG,EGLL,KPHX,2019-06-01 
LOT3,EPWA,KORD,2019-06-01 
NAX7175,LFPG,KDEN,2019-06-01 
BAW9,EGLL,VTBS,2019-06-01 
ANZ1,EGLL,KHHR,2019-06-01 
BAW32,VHHH,EGLL,2019-06-01 
BAW12,WSAC,EGLL,2019-06-01 
KLM810,WMKK,EHAM,2019-06-01 
KAL530,EDDF,RKSI,2019-06-01 
DLH797,VHHH,EDDF,2019-06-01 
CAL061,RCTP,EDDF,2019-06-01 
NAX43J,LEMD,KLAX,2019-06-01 
BAW34,WMKK,EGLL,2019-06-01 
DLH432,EDDF,KORD,2019-06-01 
NAX7UA,LFPG,KLAX,2019-06-01 
LOT26,EPWA,KJFK,2019-06-01 
AFL270,UUEE,VTBS,2019-06-01 
MAS2,WMKK,EGLL,2019-06-01 
EVA065,RCTP,LOWW,2019-06-01 
LOT45,EPWA,CYYZ,2019-06-01 
AFR272,LFPG,RJTK,2019-06-01 
KLM808,RCTP,EHAM,2019-06-01 
KLM875,EHAM,VTBS,2019-06-01 
EVA087,RCTP,LFPG,2019-06-01 
DLH716,EDDF,RJTK,2019-06-01 
JEF88,EGGW,KTEB,2019-06-01 
KLM856,RKSI,EHAM,2019-06-01 
DLH521,MMMX,EDDM,2019-06-01 
DLH779,WIDD,EDDF,2019-06-01 
CFG440,EDDF,CYYC,2019-06-01 
CFG359,WMKK,EDDF,2019-06-01 
CPA261,VHHH,LFPG,2019-06-01 
DLH773,VTBS,EDDF,2019-06-01 
CPA383,VHHH,LSZH,2019-06-01 
KAL924,UUEE,RKSI,2019-06-01 
NAX7143,LIRF,KOWD,2019-06-01 
DLH712,EDDF,RKSI,2019-06-01 
NAX19M,LIRF,KEWR,2019-06-01 
CCA771,ZGSZ,EDDF,2019-06-01 
AIC124,EDDF,VABB,2019-06-01 
N143QS,EDDB,KSFO,2019-06-01 
N7600K,EINN,KRDU,2019-06-01 
FIN100,VHHH,EFHK,2019-06-01 
AAR542,EDDF,RKSI,2019-06-01 
CAL073,RCTP,EHAM,2019-06-01 
BAW275,EGLL,KLAS,2019-06-01 
BAW269,EGLL,KLAX,2019-06-01 
SAS901,EKCH,KEWR,2019-06-01 
CPA255,VHHH,EGLL,2019-06-01 
EVA062,LOWW,VTBS,2019-06-01 
BAW69V,EGLL,KPHL,2019-06-01 
BOS9,LFPO,KEWR,2019-06-01 
CPA251,VHHH,EGLL,2019-06-01 
CPA289,VHHH,EDDF,2019-06-01 
AFL212,UUEE,VHHH,2019-06-01 
DAL4,EGLL,KJFK,2019-06-01 
CPA339,VHHH,EBBR,2019-06-01 
IBE2625,LEBL,KOWD,2019-06-01 
AFL122,UUEE,KJFK,2019-06-01 
TAP2536,SBBR,LPPT,2019-06-01 
KAL938,LOWW,RKSI,2019-06-01 
AEA026,SLVR,LEMD,2019-06-01 
AFR262,LFPG,RKSI,2019-06-01 
ICE21M,BIKF,KDEN,2019-06-01 
SIA336,WSAC,LFPG,2019-06-01 
KAL8596,EDDF,RKSI,2019-06-01 
CPA293,VHHH,LIRF,2019-06-01 
AMX023,MMMX,LEMD,2019-06-01 
ABW503,EDDF,KORD,2019-06-01 
CPA343,VHHH,EGKK,2019-06-01 
AIC1127,VIDP,ESSA,2019-06-01 
KAL9576,LIMC,RKSI,2019-06-01 
DLH573,FAOR,EDDF,2019-06-01 
IRM084,OMDB,UUWW,2019-06-01 
ACA859,EGLL,CYYZ,2019-06-01 
AFR6722,LFPG,MMMX,2019-06-01 
CPA238,EGLL,VHHH,2019-06-01 
SAS966,VHHH,EKCH,2019-06-01 
ICE863,BIKF,KSFO,2019-06-01 
VJT153,VIDP,EGGW,2019-06-01 
RBA004,EGLL,WBSB,2019-06-01 
ICE841,BIKF,KMCI,2019-06-01 
BAW56,FAOR,EGLL,2019-06-01 
THA930,VTBS,LFPG,2019-06-01 
ICE681,BIKF,KSEA,2019-06-01 
AFR995,FAOR,LFPG,2019-06-01 
BAW179,EGLL,KJFK,2019-06-01 
KAL9920,EVRA,RKSI,2019-06-01 
FIN68,RJBB,EFHK,2019-06-01 
AZA675,SBGR,LIRF,2019-06-01 
BAW28,VHHH,EGLL,2019-06-01 
SIA306,WSSS,EGLL,2019-06-01 
BAW1YC,EGLL,CYYC,2019-06-01 
KAL906,EDDF,RKSI,2019-06-01 
CPA301,VHHH,EIDW,2019-06-01 
CLU825,EDDF,KATL,2019-06-01 
AEA058,SBGR,LEMD,2019-06-01 
XLF050,LFPG,KJFK,2019-06-01 
CMB136,EBLG,OTBH,2019-06-01 
BAW21G,EGLL,KOWD,2019-06-01 
MEA209,OMDB,LFPG,2019-06-01 
ICE11P,BIKF,KSEA,2019-06-01 
CPA219,VHHH,EGCC,2019-06-01 
AFR008,LFPG,KJFK,2019-06-01 
THA954,VTBS,ENGM,2019-06-01 
ANA216,LFPG,RJTK,2019-06-01 
AAR562,LIRF,RKSI,2019-06-01 
