Callsign, Origin, Destination,Day
CCA961,KLAX,EDDM,2019-08-01 
CES709,YSSY,LEMD,2019-08-01 
CXA825,YSSY,LFPG,2019-08-01 
LAN704,KJFK,LEMD,2019-08-01 
LPE2484,KJFK,LEMD,2019-08-01 
BAW16,YSSY,EGLL,2019-08-01 
AAR561,KORD,LIRF,2019-08-01 
QFA1,YSSY,EGLL,2019-08-01 
CES289,VHHH,ESSA,2019-08-01 
CCA939,KJFK,LIRF,2019-08-01 
CSN307,RJTT,EHAM,2019-08-01 
SIA328,RJTT,EDDM,2019-08-01 
PCH891,BIRK,KBJC,2019-08-01 
PCH145,BIRK,KBJC,2019-08-01 
SIA322,VHHH,EGLL,2019-08-01 
ABW367,UUEE,PANC,2019-08-01 
QFA9,YPPH,EGLL,2019-08-01 
CES553,RCTP,LFPG,2019-08-01 
VPBAP,LFML,KVNY,2019-08-01 
CCA861,VHHH,LSGG,2019-08-01 
CPA306,EIDW,RCTP,2019-08-01 
CSN463,KORD,EDDF,2019-08-01 
QFA10,EGLL,YPPH,2019-08-01 
CPA318,LEBL,RCKH,2019-08-01 
CPA372,LEMD,VHHH,2019-08-01 
LKE881,ZGSZ,UUEE,2019-08-01 
ETH700,FAOR,EGLL,2019-08-01 
DKH1607,ZGSZ,EFHK,2019-08-01 
KLM867,EHAM,RJBB,2019-08-01 
ISS93P,LIMC,KSFO,2019-08-01 
DAL79,EHAM,KLAX,2019-08-01 
ETD45N,VHHH,EDDL,2019-08-01 
ETH500,OMDB,EIDW,2019-08-01 
FIN11,EFHK,KSFO,2019-08-01 
CSN466,EDDF,ZGGG,2019-08-01 
CFG026,EDDF,KPHX,2019-08-01 
BAW19,EGLL,RJBB,2019-08-01 
SAS983,EKCH,RJAK,2019-08-01 
DLH792,EDDM,VTBS,2019-08-01 
KLM183,EHAM,KSFO,2019-08-01 
BAW279,EGLL,KSJC,2019-08-01 
DAL119,LFPG,KHHR,2019-08-01 
BAW2277,EGKK,KLAS,2019-08-01 
NRS7506,SAEZ,EGKK,2019-08-01 
NAX7UA,LFPG,KLAX,2019-08-01 
XLF1390,LFPG,KHHR,2019-08-01 
AFR082,LFPG,KSFO,2019-08-01 
NAX7115,LIRF,KHHR,2019-08-01 
DLH458,EDDM,KSFO,2019-08-01 
FIN101,EFHK,VHHH,2019-08-01 
BAW9CG,EGLL,KPHX,2019-08-01 
FIN141,EFHK,VTBS,2019-08-01 
IBE2602,SAEZ,LEBL,2019-08-01 
RBA003,WBSB,EGLL,2019-08-01 
BAW49,EGLL,KSEA,2019-08-01 
DLH714,EDDM,RJTL,2019-08-01 
AFR166,LFPG,VTBS,2019-08-01 
CTM1014,LFPG,CYVR,2019-08-01 
CMB537,EDFH,OTBH,2019-08-01 
BAW44N,EGLL,KSAN,2019-08-01 
NAX7067,ESSA,KOAK,2019-08-01 
BAW34,WMKK,EGLL,2019-08-01 
ARG1134,SAEZ,LEMD,2019-08-01 
AFR185,VHHH,LFPG,2019-08-01 
NAX43J,LEMD,KLAX,2019-08-01 
KLM810,WMKK,EHAM,2019-08-01 
AEA042,SAEZ,LEMD,2019-08-01 
KQA124,FAOR,LIRF,2019-08-01 
DLH797,VHHH,EDDF,2019-08-01 
EDW2M,LSZH,KLAS,2019-08-01 
ANZ1,EGLL,KLAX,2019-08-01 
AEA026,SLVR,LEMD,2019-08-01 
BAW32,VHHH,EGLL,2019-08-01 
THA975,UUDD,VTBS,2019-08-01 
CAL061,RCTP,EDDF,2019-08-01 
MAS2,WMKK,EGLL,2019-08-01 
