Callsign, Origin, Destination
AFR18DB,EPWA,LFPG
PBD881,UUWW,EFHK
BTI30W,EVRA,EFHK
SXD5ZX,EDDV,EDDL
AZA300,LIML,LFPG
AFL2202,UUEE,EFHK
IBK57F,LEMG,EKCH
VLG62YA,LFPO,LIRF
EZY26FV,LIMC,LFPG
BTI221,EVRA,EDDM
RYR4VA,LEAL,EPMO
AZA1569,LIEA,LIML
JAF95M,EBBR,LEAL
AZA51J,LSGG,LIRF
AZA74Q,LIEE,LIML
BTI442,EVRA,ULLI
EZY4019,LFPO,LFBO
EZY89DG,LIMC,LEMD
EZY34MJ,LFPG,LIML
TRA45E,EHAM,LPPT
AFL2452,UUEE,LFPG
AZA1432,LIMF,LIRF
BTI6G1,EVRA,EGKK
IBE0407,LEJR,LEMD
AZA1637,LIML,LIBD
EWG3JP,EDDK,LOWW
AFL2522,UUEE,LEAL
EZY86VH,LIMC,LEBL
EZY32QR,LIML,EGKK
XK450DE,LFKF,LFML
VLG9496,LFPG,LKPR
LDM6GE,LOWW,LIME
AZA2013,LIML,LIRF
BEL1WS,EBBR,LOWW
WZZ3CG,LBSF,LIME
OAL3RE,LGAV,LGSA
AZA71G,LIML,EDDF
AFR163P,LIMC,LFPG
SBI795,UUDD,EDDM
AZA1154,LICR,LIRF
BAW709,LSZH,EGLL
NAX1BY,ESSA,LEAL
IBE3489,LSGG,LEMD
BTI7KP,EVRA,EPWA
EZY277H,LFLL,LFRS
EZS92WZ,LSGG,LPPT
WUK535,EGGW,EYKA
GWI6904,LKPR,EDDS
EZY31RT,LIMC,EHAM
DLH5JT,ESSA,EDDF
BAW599,LIPZ,EGLL
BAW811,EKCH,EGLL
AFL2374,UUEE,LFLL
WOW5,BIKF,EHAM
EZS18KB,LSGG,EGKK
AEA21SL,LEMD,LPPT
EZY21QT,LFLL,EGKK
DLH08P,EDDF,LOWW
EZY4731,EDDB,LOWW
EDW284K,LSZH,LPMA
TAP1900,LPFR,LPPT
TAP1103,LEZL,LPPT
TAP669,EHAM,LPPT
TAP447,LFPO,LPPT
WUK45,EGGW,LZKZ
TRA30X,EHRD,LPFR
TOM8VM,EGBB,LEAL
EZY73GL,EGKK,EDDB
AFL2306,UUEE,EDDF
EZY8014,LFBD,EGKK
IBE3265,LIML,LEMD
AZA75C,EHAM,LIML
WZZ7881,LHDC,EDLW
AFL2006,UUEE,EPWA
TAP1363,EGLL,LPPT
DLH4CH,EDDH,EDDF
EZY23AZ,EDDB,EHAM
TRA89A,EHAM,LEBL
WOW76E,BIKF,EDDF
EZY265T,LFBD,LFLL
AFL2721,EDDF,UUEE
RYR4033,LIME,EPPO
BAW853S,LKPR,EGLL
RYR3E,EBCI,LFML
SDM6027,ULLI,UUWW
EZY4587,EDDB,LIMF
AFL2040,UUEE,LDZA
VLG831Y,EHAM,LEBL
AZA9EK,LIBD,LIRF
BTI7PY,EVRA,LSZH
EZY61CM,EHAM,EGKK
AZA92C,LIRF,LIML
AFL2725,LOWW,UUEE
VLG8770,LFPG,EGKK
ANE8913,LFML,LEMD
RYR39KA,LIME,LROP
DFC147D,EDDB,LKPR
RYR8707,EBCI,LIBD
TRA16M,EHAM,LEMG
WOW4,BIKF,EDDB
SHT17T,EGPH,EGKK
BEL8VJ,EBBR,LFPG
DLH5HW,EDDM,EDDF
TRA75Y,EHEH,LOWI
AFL2010,UUEE,LKPR
DLH2RK,EDDF,EDDH
RYR52FZ,EBBR,LEAL
TUI96W,EDDV,LPMA
BAW631,LGAV,EGLL
AFL1350,UUEE,UUOO
SHT10A,EGPF,EGKK
DLH9TT,EDDF,EDDS
AFR74VF,LFPG,EGBB
ANE09ZV,LFLL,LEMD
WOW406,BIKF,LFPG
SWN623,EGBB,EGNS
EZY579C,LFBO,EGKK
EWG8KP,EDDL,LOWW
EZY62MG,LIMC,EETN
IBK366,EFHK,EGKK
EZY1592,EDDB,LSGG
AFL2110,UUEE,LGAV
RYR4G,LKPR,EGSS
AFR61FT,LFPG,LFML
RYR9NN,EBCI,LIRA
IBK3300,EKCH,EDDB
TRA2N,EHRD,LEMG
WOW1,BIKF,LFPG
EZY74KG,LIMC,LIBR
EZY29VN,LFPO,LIRF
AFL2032,UUEE,LHBP
EZS37TU,LSGG,LEMD
EZY19AR,EGKK,LIPX
EZY147X,LFLL,LFBO
EZY75ZE,EDDB,LIRN
EZY413C,LFBD,LFML
AFR141U,LFPG,EDDH
TOM1KL,EGNX,LEAL
AFR15KH,EDDM,LFPG
EZY4549,EDDB,EKCH
EZY98CQ,EGGW,LSZH
VLG8404,EHAM,EGGW
WZZ1CD,EPKT,EHEH
SDM5739,UUWW,LKPR
IBE31RG,LOWW,LEMD
CSA3DZ,LKPR,LFPG
EZY19LA,EHAM,LSGG
AFL2410,UUEE,LIMC
EZY6989,EGPH,LEAL
SAS54C,ESSA,EKCH
AZA2011,LIML,LIRF
SBI015,UUDD,ULLI
BAW935,EDDL,EGLL
EZY31NF,EGKK,EDDM
RYR3659,LEMG,EDDW
DLH1453,UUDD,EDDF
AEA51MY,LFPO,LEMD
EZS71LU,LSGG,BKPR
TOM7JM,EGKK,LEAL
AFR1750,LFPG,EKCH
EZY157K,LFBO,LFPO
EZY63WA,LFPO,LIPZ
IBE3475,LSZH,LEMD
DLH333,LIPZ,EDDF
EZY63WM,EGAA,EGSS
EZY802,EGPH,EGKK
WUK8JT,EGGW,LIBD
SBI692,LIPX,UUDD
NAX4439,ESGG,EGKK
AFR37ZG,LIPE,LFPG
RYR1LW,EGSS,EPBY
IBK6240,LEMD,BIKF
ETH728,EBBR,EGCC
AEA78QE,LEMD,EDDF
AFR38ZJ,LFPG,EDDM
WZZ4ML,LOWW,LIRF
SXD35H,EDDL,EDDV
EZY21KH,LIMC,LIBD
EZY73BR,EGMC,LEMG
VLG32FS,LEBB,GCXO
AFR113Z,LFPG,LOWW
AFR53YR,LSGG,LFPG
IBE34VR,LFPO,LEMD
LOT3GA,EPWA,LFPG
NAX32A,ENGM,EGKK
TOM87B,EGCC,LEAL
EZS38GP,LSGG,LEAL
