Callsign, Origin, Destination
CES771,YSSY,EHAM
CSN465,KLAX,EGSS
GIA088,RJTT,EHAM
LAN704,KJFK,LEMD
BAW16,YSSY,EGLL
SIA322,YSSY,EGLL
CCA845,RJBB,LEBL
ETD89G,YSSY,EGLL
QFA1,YSSY,EGLL
SIA388,VHHH,LEBL
CSN307,RJTT,EHAM
SIA346,VHHH,LSZH
ANA223,KLAX,EDDF
SIA366,RJTT,LIRF
ABW797,UUEE,PANC
CSN345,ZGSZ,EHAM
KQA124,FAOR,LIRF
CSN303,NZAA,EGLL
CCA911,YSSY,ESSA
MPH8562,FAOR,EHAM
ETD47K,YSSY,LFPG
QFA9,YPPH,EGLL
QFA10,EGLL,YPPH
MAU34,FAOR,LFPG
WJA440,EGKK,CYYZ
ETD51V,LGAV,WMKK
IBE6403,LEMD,MMMX
AMX002,LEMD,MMMX
ETD39B,VHHH,LSZH
DKH1607,ZGSZ,EFHK
NAX1WA,LEBL,KLAX
CCA875,VHHH,LFPG
NRS5PY,EGKK,KLAX
EDW2M,LSZH,KLAS
DAL119,LFPG,KLAX
KLM685,EHAM,MMMX
DAL79,EHAM,KLAX
BAW19,EGLL,RJBB
NAX5HB,LEBL,KOAK
NAX7UA,LFPG,KLAX
OMA115,WMKK,EDDF
AZA758,LIRF,RKSI
CFG090,EDDF,KPDX
DLH792,EDDM,VTBS
BAW279,EGLL,KSJC
DAL205,LGAV,KJFK
SIA306,YMML,EGLL
CPA037,VHHH,EDDF
DLH476,EDDM,CYVR
BAW9CG,EGLL,KPHX
NRS7506,SAEZ,EGKK
MJF73G,OBBI,LOWW
ETH3715,EBBR,FAOR
XLF072,LFPG,KSFO
BAW2277,EGKK,KLAS
DLH458,EDDM,KSFO
FIN1,EFHK,KLAX
FIN141,EFHK,VTBS
JME707G,EGGW,KHHR
BAW31F,EGLL,KDFW
IBE2602,SAEZ,LEBL
BAW49,EGLL,KSEA
DLH714,EDDM,RJTT
RBA003,WBSB,EGLL
BAW5,EGLL,RJAH
AFR082,LFPG,KSFO
AMX038,LEBL,MMMX
SIA7343,FAOR,EHAM
AFR185,VHHH,LFPG
KLM887,EHAM,VHHH
BAW34,WMKK,EGLL
DLH797,VHHH,EDDF
CAL061,RCTP,EDDF
BAW44N,EGLL,KSAN
KLM166,EHAM,KATL
ANZ1,EGLL,KLAX
LOT26,EPWA,KJFK
AEA026,SLVR,LEMD
DLH731,VHHH,EDDM
AEA042,SAEZ,LEMD
BAW32,VHHH,EGLL
DAL165,EHAM,KMSP
EDW4K,LSZH,KTPA
AZA681,SAEZ,LIRF
LOT45,EPWA,CYYZ
AFR272,LFPG,RJTT
CAL5522,EDDF,RCTP
ETD83W,RKSI,LIRF
DLH432,EDDF,KORD
LOT3,EPWA,KORD
KLM810,WMKK,EHAM
CAL063,RCTP,LOWW
BAW9,EGLL,VTBS
KLM875,EHAM,VTBS
ARG1134,SAEZ,LEMD
CAL075,RCTP,LIRF
KLM856,RKSI,EHAM
BAW28,VHHH,EGLL
MAS2,WMKK,EGLL
NAX7143,LIRF,KBOS
DLH521,MMMX,EDDM
DLH773,VTBS,EDDF
NAX43J,LEMD,KLAX
N816JC,EINN,KHOU
BAW275,EGLL,KLAS
CPA251,VHHH,EGLL
DLH712,EDDF,RKSI
KAL924,UUEE,RKSI
KLM808,RCTP,EHAM
LOT68,WSAC,EPWA
CAO1025,RJBB,EHAM
