Callsign, Origin, Destination
CCA908,SBGR,LEMD
QFA2,EGLL,WSAP
TAM8065,LEMD,SBGR
AIC120,EDDF,VIDP
JAI130,VABB,EGCC
AZA674,LIRF,SBGR
JAI117,EGLL,VABB
DAL160,KMSP,EHAM
DAL142,KSEA,EHAM
NRS7505,EGKK,SAEZ
ALK504,EGLL,VCBI
CMB547,OTBH,EINN
DAL178,KPDX,EHAM
BAW138,VABB,EGLL
AZA848,LIRF,FABB
DLH443,KONZ,EDDF
LXA12M,KIAD,EDDB
DLH493,CYVR,EDDF
AMX026,EHAM,MMMX
JAI124,VABB,LFPG
DLH423,KBOS,EDDF
BAW4EA,KSEA,EGLL
AZU8750,SBKP,LPPT
BAW247,EGLL,SBGR
DLH790,EDDM,WSAP
DLH401,KJFK,EDDF
AFR137,KORD,LFPG
MAS1,EGLL,WMKK
DLH520,EDDM,MMMX
DAL46,KJFK,EHAM
DLH757,VABB,EDDF
BAW57K,EGLL,FABB
FDB1784,EFHK,OMDB
ABW450,VHHH,UUEE
JAI232,VAJJ,EHAM
NRS7172,KDEN,EGKK
ACA878,CYYZ,LSZH
BAW15,EGLL,WSSS
MPH8341,EHAM,FABB
AZA60M,KJFK,LIRF
AIC142,LFPG,VIDP
TAM8114,SBGR,LEBL
DLH631,OMDB,EDDF
AFR099,KMIA,LFPG
AMX004,LFPG,MMMX
IBE6250,KJFK,LEMD
DLH439,KDFW,EDDF
AFR023,KJFK,LFPG
DLH491,KSEA,EDDF
BAW2168,KFLL,EGKK
BAW106,OMDB,EGLL
SAS926,KIAD,EKCH
SIA321,EGLL,WSSS
DAL42,KMSP,LFPG
SAS946,KORD,ESSA
ACA872,CYYZ,EDDF
DLH755,VOBL,EDDF
AFL522,UUEE,OMDW
MEA204,EGLL,OLBA
AFR639,KIAH,LFPG
ISS882,GOBD,LIMC
TAP224,KMIA,LPPT
BEL202,GOBD,EBBR
NAX1938,EKCH,OMDB
DLH507,SBGR,EDDF
